seed,segment_id,segment_label,n,fpr,recall,f1
0,0,benign,1705,0.01994134897360704,,
0,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
0,2,benign,1705,0.015249266862170088,,
0,3,slowloris,929,,1.0,1.0
0,4,benign,1705,0.130791788856305,,
0,5,portscan,694,,1.0,1.0
0,6,benign,1706,0.07737397420867527,,
1,0,benign,1705,0.012903225806451613,,
1,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
1,2,benign,1705,0.0093841642228739,,
1,3,slowloris,929,,1.0,1.0
1,4,benign,1705,0.16011730205278593,,
1,5,portscan,694,,0.9654178674351584,0.9824046920821115
1,6,benign,1706,0.0779601406799531,,
2,0,benign,1705,0.017595307917888565,,
2,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
2,2,benign,1705,0.02287390029325513,,
2,3,slowloris,929,,1.0,1.0
2,4,benign,1705,0.12434017595307918,,
2,5,portscan,694,,1.0,1.0
2,6,benign,1706,0.07737397420867527,,
3,0,benign,1705,0.025219941348973606,,
3,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
3,2,benign,1705,0.02463343108504399,,
3,3,slowloris,929,,1.0,1.0
3,4,benign,1705,0.11378299120234604,,
3,5,portscan,694,,1.0,1.0
3,6,benign,1706,0.07268464243845252,,
4,0,benign,1705,0.015835777126099706,,
4,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
4,2,benign,1705,0.013489736070381233,,
4,3,slowloris,929,,1.0,1.0
4,4,benign,1705,0.13900293255131965,,
4,5,portscan,694,,1.0,1.0
4,6,benign,1706,0.08030480656506447,,
