feature,benign_mean,benign_std,group_mean,group_std,ks_statistic,ks_pvalue,mean_shift_in_benign_std,benign_p5,benign_p25,benign_p50,benign_p75,benign_p95,group_p5,group_p25,group_p50,group_p75,group_p95
byte_ratio_scaled,0.05913346758699855,1.1801877793778444,1599.7121951107758,120.75593061979289,1.0,0.0,1355.4224925854364,-0.6040302242810942,-0.5313922645545104,-0.1707229648245473,-0.045187592906215,4.119297628905474,1511.0084867908329,1518.2410825660247,1525.4736783412168,1769.897961166898,1786.840956769524
conn_state_SF,0.9989737575135611,0.032018577619843856,0.0,0.0,0.9989737575135611,0.0,-31.19981684927929,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
conn_state_RSTO,0.0010262424864389385,0.03201857761984386,1.0,0.0,0.9989737575135611,0.0,31.199816849279284,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
resp_bytes_scaled,-0.07908124995357534,0.9004731197921805,-0.7433644777051491,0.008122398659567204,0.7987098665884768,1.215e-321,-0.7377046723003605,-0.7544339089174409,-0.6607270981156157,-0.4695885262114407,0.1432500570889179,1.665230116021892,-0.7554516682125048,-0.7554516682125048,-0.7379063557416712,-0.7379063557416712,-0.7379063557416712
orig_bytes_scaled,-0.05214365966895025,0.7784255951005876,-0.3290914375693084,0.004569908294452717,0.7551678639495675,1.72e-321,-0.3557793829538341,-0.3731626028884327,-0.2894384238779717,-0.1858334951877857,0.0814276748790601,0.5671294734080354,-0.3361146536763037,-0.3356960327812514,-0.326036076206459,-0.326036076206459,-0.3258274414132764
resp_pkts_scaled,-0.07654527641628986,0.8718595883159932,-0.6089464226010879,0.012265439628380143,0.74857059082246,1.8e-321,-0.610650101598512,-0.7095632409082235,-0.582263629806121,-0.4040441742631775,0.130614192365653,1.4290702256070986,-0.625046080931007,-0.625046080931007,-0.6077235520265416,-0.6077235520265416,-0.582263629806121
orig_pkts_scaled,-0.05815784767869776,0.763997292447714,-0.3540181612025919,0.008486263000019059,0.713091922005571,2.475e-321,-0.38725309166477456,-0.4585569123203094,-0.3475585160920421,-0.2301857154282197,0.1105647937786129,0.709649122071008,-0.3651786433947596,-0.3651786433947596,-0.3531548214470372,-0.3531548214470372,-0.3355878063014919
duration_scaled,-0.05846010361894051,0.791676569985741,-0.08212240971054266,0.00838251080671241,0.6328984019938425,1.48735562135e-313,-0.02988885485398202,-0.3939951752852273,-0.389302366944354,-0.3082290296182547,0.1279392058983315,0.8695038736311701,-0.09747831161807284,-0.0884556024403144,-0.0803107368013208,-0.075066390007509,-0.07141000645141016
pkts_per_sec_scaled,0.10776776081567663,1.2378302787155928,-0.22993181775487248,0.010596691418834339,0.5876080154540788,3.5752601114981305e-266,-0.2728157360320476,-0.2370787078309505,-0.2368702076173757,-0.2141674803016433,-0.1531367522476682,1.711491446427907,-0.23705726484124634,-0.2370558764524309,-0.237053047838667,-0.2141677764813537,-0.21414980014609938
bytes_per_sec_scaled,0.09807168183365557,1.2310962181476712,-0.24389556214539704,0.00863678447794557,0.5314578908389197,2.9576339679995737e-214,-0.27777458734588795,-0.2497985998628026,-0.2494512825515621,-0.247458701657426,-0.1625308146074033,2.1919106086118942,-0.2497014228241417,-0.2497003492426351,-0.2496984802203581,-0.2310447515955421,-0.2310407209530496
service_http,0.74857059082246,0.43383483190976396,1.0,0.0,0.25142940917754,5.673707945340308e-46,0.5795509965641402,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
service_none,0.19425304207594193,0.3956245666287475,0.0,0.0,0.19425304207594193,1.7471988618198207e-27,-0.4910034878047101,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
proto_tcp,0.9494209060255094,0.21913659946985167,1.0,0.0,0.05057909397449054,0.029341035435877072,0.23081080064605602,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
service_dns,0.05057909397449054,0.21913659946985167,0.0,0.0,0.05057909397449054,0.029341035435877072,-0.23081080064605594,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
proto_udp,0.05057909397449054,0.21913659946985167,0.0,0.0,0.05057909397449054,0.029341035435877072,-0.23081080064605594,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
service_ssh,0.006597273127107462,0.08095522907381468,0.0,0.0,0.006597273127107462,0.9999999999999041,-0.08149285972734502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conn_state_REJ,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conn_state_S1,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
