attack_type,seed,n_benign,n_attack,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,recall__portscan,recall__apache_bench,recall__slowloris
portscan,0,6821,694,0.0829450443387031,0.9981512359156407,0.9997942445076592,0.7206645898234684,0.078874065386307,1.0,1.0,,
portscan,1,6821,694,0.0818401277065277,0.9980486394849787,0.9997895970530066,0.7613823368074603,0.06377364022870546,1.0,1.0,,
portscan,2,6821,694,0.1441548913717268,0.9985066700106248,0.999833747872205,0.7981598619896493,0.0514587303914382,1.0,1.0,,
portscan,3,6821,694,0.06540257632732388,0.9974143011848495,0.9997173502579548,0.729758149316509,0.07535551971851635,1.0,1.0,,
portscan,4,6821,694,0.11934791505336759,0.9991759073130062,0.9999129658492357,0.7655819084390513,0.0623075795337927,1.0,1.0,,
apache_bench,0,6821,1487,0.0829450443387031,0.9205890370659507,0.9854003228094101,0.8284639861151287,0.078874065386307,0.9630127774041695,,0.9630127774041695,
apache_bench,1,6821,1487,0.0818401277065277,0.9333968521910796,0.9899696603323708,0.8657421068161699,0.06377364022870546,0.9865501008742434,,0.9865501008742434,
apache_bench,2,6821,1487,0.1441548913717268,0.934835856464252,0.9855889290037186,0.8615670486218644,0.0514587303914382,0.9354404841963685,,0.9354404841963685,
apache_bench,3,6821,1487,0.06540257632732388,0.762530038003081,0.9626004663196956,0.7898397338977926,0.07535551971851635,0.8782784129119031,,0.8782784129119031,
apache_bench,4,6821,1487,0.11934791505336759,0.9659232617912665,0.9943512789876038,0.8683042320213081,0.0623075795337927,0.9865501008742434,,0.9865501008742434,
slowloris,0,6821,929,0.0829450443387031,1.0,1.0,0.7754590984974958,0.078874065386307,1.0,,,1.0
slowloris,1,6821,929,0.0818401277065277,1.0,0.9999999999999999,0.8102921936327955,0.06377364022870546,1.0,,,1.0
slowloris,2,6821,929,0.1441548913717268,1.0,1.0,0.8411045722046174,0.0514587303914382,1.0,,,1.0
slowloris,3,6821,929,0.06540257632732388,1.0,1.0,0.7833052276559865,0.07535551971851635,1.0,,,1.0
slowloris,4,6821,929,0.11934791505336759,1.0,1.0,0.8138414367060884,0.0623075795337927,1.0,,,1.0
