attack_type,seed,n_benign,n_attack,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,recall__apache_bench,recall__portscan,recall__slowloris
portscan+apache_bench,0,6821,2181,0.09284669756889331,0.9748946345690099,0.9913406967088786,0.8834745762711864,0.06655915554903973,0.9559834938101788,0.9354404841963685,1.0,
portscan+apache_bench,1,6821,2181,0.12954330146312698,0.9595910399347738,0.9875073613925655,0.8849443969204448,0.062454185603283974,0.9486474094452086,0.9246805648957633,1.0,
portscan+apache_bench,2,6821,2181,0.16586200892925254,0.9614497996539416,0.9869925932677767,0.8680390032502708,0.06318721595074037,0.9183860614397066,0.8802958977807667,1.0,
portscan+apache_bench,3,6821,2181,0.11681434810161578,0.9283716708777905,0.9781224891357911,0.8557775847089487,0.06641254947954846,0.9032553874369555,0.8581035642232683,1.0,
portscan+apache_bench,4,6821,2181,0.12283750772476186,0.9693719142653143,0.9901332972498219,0.8813914501257335,0.07154376191174315,0.9642365887207703,0.9475453934095495,1.0,
portscan+slowloris,0,6821,1623,0.09284669756889331,0.9997872837227961,0.9999476084286476,0.8772972972972973,0.06655915554903973,1.0,,1.0,1.0
portscan+slowloris,1,6821,1623,0.12954330146312698,0.9991674164106453,0.9997781487944113,0.8839869281045751,0.062454185603283974,1.0,,1.0,1.0
portscan+slowloris,2,6821,1623,0.16586200892925254,0.9995319078392224,0.9998757958437766,0.8827848789774273,0.06318721595074037,1.0,,1.0,1.0
portscan+slowloris,3,6821,1623,0.11681434810161578,0.9991811905332122,0.9997912466872493,0.8775344687753447,0.06641254947954846,1.0,,1.0,1.0
portscan+slowloris,4,6821,1623,0.12283750772476186,0.9995897570885381,0.9998964814814313,0.8693090519550081,0.07154376191174315,1.0,,1.0,1.0
apache_bench+slowloris,0,6821,2416,0.09284669756889331,0.9797716933209895,0.9922181668221727,0.8940269749518305,0.06655915554903973,0.9602649006622517,0.9354404841963685,,1.0
apache_bench+slowloris,1,6821,2416,0.12954330146312698,0.9681046813769203,0.9888715313343774,0.895452778857365,0.062454185603283974,0.9536423841059603,0.9246805648957633,,1.0
apache_bench+slowloris,2,6821,2416,0.16586200892925254,0.9690382817909324,0.9883412372775544,0.88023598820059,0.06318721595074037,0.9263245033112583,0.8802958977807667,,1.0
apache_bench+slowloris,3,6821,2416,0.11681434810161578,0.9434611492416629,0.9803907100296999,0.8691367757193535,0.06641254947954846,0.9126655629139073,0.8581035642232683,,1.0
apache_bench+slowloris,4,6821,2416,0.12283750772476186,0.975652512828844,0.9911625545767794,0.8920259442960702,0.07154376191174315,0.9677152317880795,0.9475453934095495,,1.0
