seed,segment_id,segment_label,n,fpr,recall,f1
0,0,benign,1705,0.06451612903225806,,
0,1,apache_bench,1487,,0.9630127774041695,0.9811579307982186
0,2,benign,1705,0.0750733137829912,,
0,3,slowloris,929,,1.0,1.0
0,4,benign,1705,0.08504398826979472,,
0,5,portscan,694,,1.0,1.0
0,6,benign,1706,0.09085580304806565,,
1,0,benign,1705,0.02873900293255132,,
1,1,apache_bench,1487,,0.9865501008742434,0.99322951929587
1,2,benign,1705,0.03812316715542522,,
1,3,slowloris,929,,1.0,1.0
1,4,benign,1705,0.10733137829912023,,
1,5,portscan,694,,1.0,1.0
1,6,benign,1706,0.08089097303634232,,
2,0,benign,1705,0.022287390029325515,,
2,1,apache_bench,1487,,0.9354404841963685,0.9666435024322446
2,2,benign,1705,0.02463343108504399,,
2,3,slowloris,929,,1.0,1.0
2,4,benign,1705,0.093841642228739,,
2,5,portscan,694,,1.0,1.0
2,6,benign,1706,0.06506447831184056,,
3,0,benign,1705,0.04457478005865103,,
3,1,apache_bench,1487,,0.8782784129119031,0.9351951306838525
3,2,benign,1705,0.05689149560117302,,
3,3,slowloris,929,,1.0,1.0
3,4,benign,1705,0.106158357771261,,
3,5,portscan,694,,1.0,1.0
3,6,benign,1706,0.09378663540445487,,
4,0,benign,1705,0.03284457478005865,,
4,1,apache_bench,1487,,0.9865501008742434,0.99322951929587
4,2,benign,1705,0.05043988269794721,,
4,3,slowloris,929,,1.0,1.0
4,4,benign,1705,0.09090909090909091,,
4,5,portscan,694,,1.0,1.0
4,6,benign,1706,0.07502930832356389,,
