attack_type,seed,n_benign,n_attack,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,recall__apache_bench,recall__portscan,recall__slowloris
portscan+apache_bench,0,6821,2181,0.0829450443387031,0.9695528145636386,0.989980506971989,0.8776057791537668,0.078874065386307,0.974782209995415,0.9630127774041695,1.0,
portscan+apache_bench,1,6821,2181,0.0818401277065277,0.9765834206947016,0.9930943903113352,0.9047519363617333,0.06377364022870546,0.9908298945437872,0.9865501008742434,1.0,
portscan+apache_bench,2,6821,2181,0.1441548913717268,0.9726677591604074,0.9901216682493535,0.9031838856400259,0.0514587303914382,0.9559834938101788,0.9354404841963685,1.0,
portscan+apache_bench,3,6821,2181,0.06540257632732388,0.9140732932323428,0.9744111574949142,0.8519701810436635,0.07535551971851635,0.9170105456212746,0.8782784129119031,1.0,
portscan+apache_bench,4,6821,2181,0.11934791505336759,0.987772804688369,0.996121022537339,0.9066498846234529,0.0623075795337927,0.9908298945437872,0.9865501008742434,1.0,
portscan+slowloris,0,6821,1623,0.0829450443387031,0.9996451254015741,0.9999120182922461,0.8578224101479915,0.078874065386307,1.0,,1.0,1.0
portscan+slowloris,1,6821,1623,0.0818401277065277,0.9996318720300145,0.9999100310257466,0.8818255908720456,0.06377364022870546,1.0,,1.0,1.0
portscan+slowloris,2,6821,1623,0.1441548913717268,0.999713251605466,0.9999289100574925,0.902418682235196,0.0514587303914382,1.0,,1.0,1.0
portscan+slowloris,3,6821,1623,0.06540257632732388,0.9995079222083454,0.9998791380647077,0.8632978723404255,0.07535551971851635,1.0,,1.0,1.0
portscan+slowloris,4,6821,1623,0.11934791505336759,0.9998461704860381,0.9999627839182806,0.8842277308635249,0.0623075795337927,1.0,,1.0,1.0
apache_bench+slowloris,0,6821,2416,0.0829450443387031,0.9757335479886605,0.9910141887490037,0.8884289746001881,0.078874065386307,0.9772350993377483,0.9630127774041695,,1.0
apache_bench+slowloris,1,6821,2416,0.0818401277065277,0.9816545443641705,0.9938265252128458,0.9132837812083096,0.06377364022870546,0.9917218543046358,0.9865501008742434,,1.0
apache_bench+slowloris,2,6821,2416,0.1441548913717268,0.9779374657226201,0.9911302721144576,0.9121289561627678,0.0514587303914382,0.9602649006622517,0.9354404841963685,,1.0
apache_bench+slowloris,3,6821,2416,0.06540257632732388,0.9320598960709747,0.9769813300568656,0.8654404646660213,0.07535551971851635,0.9250827814569537,0.8782784129119031,,1.0
apache_bench+slowloris,4,6821,2416,0.11934791505336759,0.9903110576453704,0.9965233244431154,0.9150276876074088,0.0623075795337927,0.9917218543046358,0.9865501008742434,,1.0
