seed,segment_id,segment_label,n,fpr,recall,f1
0,0,benign,1705,0.0375366568914956,,
0,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
0,2,benign,1705,0.04398826979472141,,
0,3,slowloris,929,,1.0,1.0
0,4,benign,1705,0.0780058651026393,,
0,5,portscan,694,,1.0,1.0
0,6,benign,1706,0.07327080890973037,,
1,0,benign,1705,0.02346041055718475,,
1,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
1,2,benign,1705,0.03401759530791789,,
1,3,slowloris,929,,1.0,1.0
1,4,benign,1705,0.07390029325513196,,
1,5,portscan,694,,1.0,1.0
1,6,benign,1706,0.059788980070339975,,
2,0,benign,1705,0.021114369501466276,,
2,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
2,2,benign,1705,0.022287390029325515,,
2,3,slowloris,929,,1.0,1.0
2,4,benign,1705,0.09970674486803519,,
2,5,portscan,694,,1.0,1.0
2,6,benign,1706,0.06506447831184056,,
3,0,benign,1705,0.016422287390029325,,
3,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
3,2,benign,1705,0.021114369501466276,,
3,3,slowloris,929,,1.0,1.0
3,4,benign,1705,0.13196480938416422,,
3,5,portscan,694,,1.0,1.0
3,6,benign,1706,0.07209847596717468,,
4,0,benign,1705,0.04281524926686217,,
4,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
4,2,benign,1705,0.03812316715542522,,
4,3,slowloris,929,,1.0,1.0
4,4,benign,1705,0.07448680351906159,,
4,5,portscan,694,,1.0,1.0
4,6,benign,1706,0.06916764361078546,,
5,0,benign,1705,0.04926686217008798,,
5,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
5,2,benign,1705,0.05395894428152493,,
5,3,slowloris,929,,1.0,1.0
5,4,benign,1705,0.09090909090909091,,
5,5,portscan,694,,1.0,1.0
5,6,benign,1706,0.08323563892145369,,
6,0,benign,1705,0.03988269794721408,,
6,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
6,2,benign,1705,0.03636363636363636,,
6,3,slowloris,929,,1.0,1.0
6,4,benign,1705,0.07390029325513196,,
6,5,portscan,694,,1.0,1.0
6,6,benign,1706,0.06623681125439625,,
7,0,benign,1705,0.03812316715542522,,
7,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
7,2,benign,1705,0.03812316715542522,,
7,3,slowloris,929,,1.0,1.0
7,4,benign,1705,0.07448680351906159,,
7,5,portscan,694,,1.0,1.0
7,6,benign,1706,0.06916764361078546,,
8,0,benign,1705,0.03460410557184751,,
8,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
8,2,benign,1705,0.03812316715542522,,
8,3,slowloris,929,,1.0,1.0
8,4,benign,1705,0.07448680351906159,,
8,5,portscan,694,,1.0,1.0
8,6,benign,1706,0.06623681125439625,,
9,0,benign,1705,0.03812316715542522,,
9,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
9,2,benign,1705,0.03870967741935484,,
9,3,slowloris,929,,1.0,1.0
9,4,benign,1705,0.09912023460410557,,
9,5,portscan,694,,1.0,1.0
9,6,benign,1706,0.08323563892145369,,
10,0,benign,1705,0.04868035190615836,,
10,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
10,2,benign,1705,0.05278592375366569,,
10,3,slowloris,929,,1.0,1.0
10,4,benign,1705,0.07214076246334311,,
10,5,portscan,694,,1.0,1.0
10,6,benign,1706,0.0697538100820633,,
11,0,benign,1705,0.02873900293255132,,
11,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
11,2,benign,1705,0.03460410557184751,,
11,3,slowloris,929,,1.0,1.0
11,4,benign,1705,0.12023460410557185,,
11,5,portscan,694,,1.0,1.0
11,6,benign,1706,0.06623681125439625,,
12,0,benign,1705,0.03460410557184751,,
12,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
12,2,benign,1705,0.03636363636363636,,
12,3,slowloris,929,,1.0,1.0
12,4,benign,1705,0.07331378299120235,,
12,5,portscan,694,,1.0,1.0
12,6,benign,1706,0.06037514654161782,,
13,0,benign,1705,0.026392961876832845,,
13,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
13,2,benign,1705,0.0281524926686217,,
13,3,slowloris,929,,1.0,1.0
13,4,benign,1705,0.09325513196480939,,
13,5,portscan,694,,1.0,1.0
13,6,benign,1706,0.06858147713950762,,
14,0,benign,1705,0.03284457478005865,,
