segment_id,segment_label,window_id,n,pct_of_segment
0,benign,window_02_3pct,696,40.8
0,benign,window_03_5pct,533,31.3
0,benign,window_04_7pct,78,4.6
0,benign,window_resampled_15pct,195,11.4
0,benign,window_resampled_20pct,203,11.9
1,apache_bench,window_04_7pct,129,8.7
1,apache_bench,window_05_12pct,184,12.4
1,apache_bench,window_07_17pct,276,18.6
1,apache_bench,window_08_22pct,379,25.5
1,apache_bench,window_resampled_15pct,196,13.2
1,apache_bench,window_resampled_20pct,323,21.7
2,benign,window_04_7pct,706,41.4
2,benign,window_05_12pct,619,36.3
2,benign,window_resampled_15pct,195,11.4
2,benign,window_resampled_20pct,185,10.9
3,slowloris,window_02_3pct,14,1.5
3,slowloris,window_03_5pct,30,3.2
3,slowloris,window_04_7pct,40,4.3
3,slowloris,window_05_12pct,100,10.8
3,slowloris,window_06_15pct,125,13.5
3,slowloris,window_07_17pct,158,17.0
3,slowloris,window_08_22pct,173,18.6
3,slowloris,window_resampled_15pct,132,14.2
3,slowloris,window_resampled_20pct,157,16.9
4,benign,window_05_12pct,277,16.2
4,benign,window_06_15pct,773,45.3
4,benign,window_07_17pct,447,26.2
4,benign,window_resampled_15pct,115,6.7
4,benign,window_resampled_20pct,93,5.5
5,portscan,window_02_3pct,42,6.1
5,portscan,window_04_7pct,73,10.5
5,portscan,window_05_12pct,182,26.2
5,portscan,window_06_15pct,233,33.6
5,portscan,window_07_17pct,6,0.9
5,portscan,window_08_22pct,3,0.4
5,portscan,window_resampled_15pct,73,10.5
5,portscan,window_resampled_20pct,82,11.8
6,benign,window_07_17pct,426,25.0
6,benign,window_08_22pct,873,51.2
6,benign,window_resampled_15pct,214,12.5
6,benign,window_resampled_20pct,193,11.3
