feature,benign_mean,benign_std,group_mean,group_std,ks_statistic,ks_pvalue,mean_shift_in_benign_std,benign_p5,benign_p25,benign_p50,benign_p75,benign_p95,group_p5,group_p25,group_p50,group_p75,group_p95
orig_pkts_scaled,-0.05815784767869776,0.763997292447714,-0.39726463123539574,0.013784254712971738,0.7553144700190588,1.34e-321,-0.44385861953811256,-0.4585569123203094,-0.3475585160920421,-0.2301857154282197,0.1105647937786129,0.709649122071008,-0.4180390253029121,-0.4004188980001946,-0.3882888517381279,-0.3882888517381279,-0.3882888517381279
orig_bytes_scaled,-0.05214365966895025,0.7784255951005876,-0.3570720661433549,0.005412994331240065,0.7551678639495675,1.344e-321,-0.3917245378281813,-0.3731626028884327,-0.2894384238779717,-0.1858334951877857,0.0814276748790601,0.5671294734080354,-0.3631157014071774,-0.3631157014071774,-0.3531585993201904,-0.3531585993201904,-0.3531585993201904
resp_bytes_scaled,-0.07908124995357534,0.9004731197921805,-0.6927819307327118,0.011809495010824664,0.7544348336021112,1.35e-321,-0.6815313719978359,-0.7544339089174409,-0.6607270981156157,-0.4695885262114407,0.1432500570889179,1.665230116021892,-0.7028886412861854,-0.7028886412861854,-0.6852426123739334,-0.6852426123739334,-0.6852426123739334
resp_pkts_scaled,-0.07654527641628986,0.8718595883159932,-0.6164406912622182,0.018145723279901056,0.7544348336021112,1.35e-321,-0.6192458304997741,-0.7095632409082235,-0.582263629806121,-0.4040441742631775,0.130614192365653,1.4290702256070986,-0.625046080931007,-0.625046080931007,-0.6077235520265416,-0.6077235520265416,-0.6077235520265416
duration_scaled,-0.05846010361894051,0.791676569985741,-0.39098901345108317,0.002263569612039951,0.6928092138414664,1.897e-321,-0.4200312633202368,-0.3939951752852273,-0.389302366944354,-0.3082290296182547,0.1279392058983315,0.8695038736311701,-0.394255787584162,-0.39398294098736497,-0.3894499517346592,-0.3892377445553405,-0.38921954545584597
byte_ratio_scaled,0.05913346758699855,1.1801877793778444,-0.37754079309443866,0.03936621489199383,0.6786394956751209,2.02e-321,-0.3700040521616292,-0.6040302242810942,-0.5313922645545104,-0.1707229648245473,-0.045187592906215,4.119297628905474,-0.3718051849019276,-0.3718051849019276,-0.3707206831458706,-0.3707206831458706,-0.3707206831458706
bytes_per_sec_scaled,0.09807168183365557,1.2310962181476712,-0.20147011508653,0.03911207640345914,0.6723506178307094,2.075e-321,-0.24331306725227486,-0.2497985998628026,-0.2494512825515621,-0.247458701657426,-0.1625308146074033,2.1919106086118942,-0.2261576293236341,-0.22504670971220453,-0.2110871643467566,-0.20015011771657448,-0.1197711618535625
pkts_per_sec_scaled,0.10776776081567663,1.2378302787155928,1.5270305754790192,10.50595980450863,0.6221706236338251,3.28e-321,1.1465730311073092,-0.2370787078309505,-0.2368702076173757,-0.2141674803016433,-0.1531367522476682,1.711491446427907,-0.19650705585920422,-0.18701982582350296,-0.1645993755949362,-0.13991404333041146,0.1045849601387893
service_http,0.74857059082246,0.43383483190976396,0.9737726967047747,0.15981061246702472,0.22520210588231465,8.424563439619223e-55,0.5190964148520834,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
service_none,0.19425304207594193,0.3956245666287475,0.026227303295225286,0.15981061246702472,0.16802573878071667,1.4103457659267203e-30,-0.4247100735237994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
proto_udp,0.05057909397449054,0.21913659946985167,0.0,0.0,0.05057909397449054,0.003719120887127628,-0.23081080064605594,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
service_dns,0.05057909397449054,0.21913659946985167,0.0,0.0,0.05057909397449054,0.003719120887127628,-0.23081080064605594,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
proto_tcp,0.9494209060255094,0.21913659946985167,1.0,0.0,0.05057909397449054,0.003719120887127628,0.23081080064605602,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
conn_state_REJ,0.0,0.0,0.026227303295225286,0.15981061246702472,0.026227303295225286,0.3632285291507919,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conn_state_SF,0.9989737575135611,0.032018577619843856,0.9737726967047747,0.15981061246702472,0.025201060808786348,0.41231319311476,-0.7870762126912141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
service_ssh,0.006597273127107462,0.08095522907381468,0.0,0.0,0.006597273127107462,0.9999999975264393,-0.08149285972734502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conn_state_RSTO,0.0010262424864389385,0.03201857761984386,0.0,0.0,0.0010262424864389385,1.0,-0.032051470200316255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conn_state_S1,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
