seed,segment_id,segment_label,n,fpr,recall,f1
0,0,benign,1705,0.04457478005865103,,
0,1,apache_bench,1487,,0.0410221923335575,0.07881136950904392
0,2,benign,1705,0.0375366568914956,,
0,3,slowloris,929,,1.0,1.0
0,4,benign,1705,0.07624633431085044,,
0,5,portscan,694,,0.9668587896253602,0.9831501831501831
0,6,benign,1706,0.0779601406799531,,
1,0,benign,1705,0.02463343108504399,,
1,1,apache_bench,1487,,0.03362474781439139,0.06506180871828236
1,2,benign,1705,0.031085043988269796,,
1,3,slowloris,929,,1.0,1.0
1,4,benign,1705,0.09325513196480939,,
1,5,portscan,694,,1.0,1.0
1,6,benign,1706,0.07033997655334115,,
2,0,benign,1705,0.03225806451612903,,
2,1,apache_bench,1487,,0.04169468728984533,0.08005164622336991
2,2,benign,1705,0.03225806451612903,,
2,3,slowloris,929,,1.0,1.0
2,4,benign,1705,0.1348973607038123,,
2,5,portscan,694,,1.0,1.0
2,6,benign,1706,0.08558030480656506,,
3,0,benign,1705,0.01935483870967742,,
3,1,apache_bench,1487,,0.029589778076664425,0.05747877204441541
3,2,benign,1705,0.026392961876832845,,
3,3,slowloris,929,,1.0,1.0
3,4,benign,1705,0.12551319648093842,,
3,5,portscan,694,,1.0,1.0
3,6,benign,1706,0.07209847596717468,,
4,0,benign,1705,0.03225806451612903,,
4,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
4,2,benign,1705,0.03225806451612903,,
4,3,slowloris,929,,1.0,1.0
4,4,benign,1705,0.06217008797653959,,
4,5,portscan,694,,0.9740634005763689,0.9868613138686131
4,6,benign,1706,0.053341148886283704,,
5,0,benign,1705,0.04222873900293255,,
5,1,apache_bench,1487,,0.03026227303295225,0.0587467362924282
5,2,benign,1705,0.04633431085043988,,
5,3,slowloris,929,,1.0,1.0
5,4,benign,1705,0.07214076246334311,,
5,5,portscan,694,,1.0,1.0
5,6,benign,1706,0.07268464243845252,,
6,0,benign,1705,0.04046920821114369,,
6,1,apache_bench,1487,,0.03227975790181574,0.06254071661237785
6,2,benign,1705,0.03929618768328446,,
6,3,slowloris,929,,1.0,1.0
6,4,benign,1705,0.09149560117302052,,
6,5,portscan,694,,0.984149855907781,0.9920116194625999
6,6,benign,1706,0.07268464243845252,,
7,0,benign,1705,0.025806451612903226,,
7,1,apache_bench,1487,,0.029589778076664425,0.05747877204441541
7,2,benign,1705,0.01935483870967742,,
7,3,slowloris,929,,1.0,1.0
7,4,benign,1705,0.08856304985337243,,
7,5,portscan,694,,0.9654178674351584,0.9824046920821115
7,6,benign,1706,0.05216881594372802,,
8,0,benign,1705,0.03460410557184751,,
8,1,apache_bench,1487,,0.03362474781439139,0.06506180871828236
8,2,benign,1705,0.04516129032258064,,
8,3,slowloris,929,,1.0,1.0
8,4,benign,1705,0.07859237536656892,,
8,5,portscan,694,,0.9985590778097982,0.9992790194664743
8,6,benign,1706,0.06916764361078546,,
9,0,benign,1705,0.03460410557184751,,
9,1,apache_bench,1487,,0.03295225285810356,0.06380208333333333
9,2,benign,1705,0.03401759530791789,,
9,3,slowloris,929,,1.0,1.0
9,4,benign,1705,0.10381231671554252,,
9,5,portscan,694,,1.0,1.0
9,6,benign,1706,0.07327080890973037,,
10,0,benign,1705,0.03343108504398827,,
10,1,apache_bench,1487,,0.03429724277067922,0.06631989596879063
10,2,benign,1705,0.04222873900293255,,
10,3,slowloris,929,,1.0,1.0
10,4,benign,1705,0.06392961876832845,,
10,5,portscan,694,,1.0,1.0
10,6,benign,1706,0.056858147713950764,,
11,0,benign,1705,0.02463343108504399,,
11,1,apache_bench,1487,,0.026899798251513115,0.05239030779305828
11,2,benign,1705,0.031085043988269796,,
11,3,slowloris,929,,1.0,1.0
11,4,benign,1705,0.11788856304985337,,
11,5,portscan,694,,0.968299711815562,0.9838945827232797
11,6,benign,1706,0.06916764361078546,,
12,0,benign,1705,0.03225806451612903,,
12,1,apache_bench,1487,,0.03765971755211836,0.07258587167854828
12,2,benign,1705,0.03577712609970674,,
12,3,slowloris,929,,1.0,1.0
12,4,benign,1705,0.07917888563049853,,
12,5,portscan,694,,1.0,1.0
12,6,benign,1706,0.06213364595545135,,
13,0,benign,1705,0.026979472140762465,,
13,1,apache_bench,1487,,0.02757229320780094,0.05366492146596859
13,2,benign,1705,0.025806451612903226,,
13,3,slowloris,929,,1.0,1.0
13,4,benign,1705,0.11847507331378299,,
13,5,portscan,694,,0.9956772334293948,0.9978339350180505
13,6,benign,1706,0.07971864009378664,,
14,0,benign,1705,0.026979472140762465,,
14,1,apache_bench,1487,,0.03295225285810356,0.06380208333333333
14,2,benign,1705,0.04105571847507331,,
14,3,slowloris,929,,1.0,1.0
14,4,benign,1705,0.09325513196480939,,
14,5,portscan,694,,1.0,1.0
14,6,benign,1706,0.06799531066822978,,
15,0,benign,1705,0.03225806451612903,,
15,1,apache_bench,1487,,0.03227975790181574,0.06254071661237785
15,2,benign,1705,0.03988269794721408,,
15,3,slowloris,929,,1.0,1.0
15,4,benign,1705,0.0967741935483871,,
15,5,portscan,694,,1.0,1.0
15,6,benign,1706,0.0668229777256741,,
16,0,benign,1705,0.0281524926686217,,
16,1,apache_bench,1487,,0.03295225285810356,0.06380208333333333
16,2,benign,1705,0.03167155425219941,,
16,3,slowloris,929,,1.0,1.0
16,4,benign,1705,0.10205278592375366,,
16,5,portscan,694,,1.0,1.0
16,6,benign,1706,0.07913247362250879,,
17,0,benign,1705,0.0187683284457478,,
17,1,apache_bench,1487,,0.026899798251513115,0.05239030779305828
17,2,benign,1705,0.017595307917888565,,
17,3,slowloris,929,,1.0,1.0
17,4,benign,1705,0.13020527859237538,,
17,5,portscan,694,,0.9711815561959655,0.9853801169590644
17,6,benign,1706,0.07678780773739742,,
18,0,benign,1705,0.02346041055718475,,
18,1,apache_bench,1487,,0.026899798251513115,0.05239030779305828
18,2,benign,1705,0.0281524926686217,,
18,3,slowloris,929,,1.0,1.0
18,4,benign,1705,0.11906158357771261,,
18,5,portscan,694,,0.9654178674351584,0.9824046920821115
18,6,benign,1706,0.07268464243845252,,
19,0,benign,1705,0.03225806451612903,,
19,1,apache_bench,1487,,0.03429724277067922,0.06631989596879063
19,2,benign,1705,0.03519061583577713,,
19,3,slowloris,929,,1.0,1.0
19,4,benign,1705,0.07565982404692081,,
19,5,portscan,694,,0.9740634005763689,0.9868613138686131
19,6,benign,1706,0.0615474794841735,,
