seed,segment_id,segment_label,n,fpr,recall,f1
0,0,benign,1705,0.012316715542521995,,
0,1,apache_bench,1487,,0.9354404841963685,0.9666435024322446
0,2,benign,1705,0.015835777126099706,,
0,3,slowloris,929,,1.0,1.0
0,4,benign,1705,0.1501466275659824,,
0,5,portscan,694,,1.0,1.0
0,6,benign,1706,0.08792497069167643,,
1,0,benign,1705,0.01466275659824047,,
1,1,apache_bench,1487,,0.9246805648957633,0.9608665269042628
1,2,benign,1705,0.007038123167155425,,
1,3,slowloris,929,,1.0,1.0
1,4,benign,1705,0.1472140762463343,,
1,5,portscan,694,,1.0,1.0
1,6,benign,1706,0.08089097303634232,,
2,0,benign,1705,0.012903225806451613,,
2,1,apache_bench,1487,,0.8802958977807667,0.9363376251788269
2,2,benign,1705,0.008797653958944282,,
2,3,slowloris,929,,1.0,1.0
2,4,benign,1705,0.14897360703812318,,
2,5,portscan,694,,1.0,1.0
2,6,benign,1706,0.08206330597889801,,
3,0,benign,1705,0.017595307917888565,,
3,1,apache_bench,1487,,0.8581035642232683,0.923633731451321
3,2,benign,1705,0.021114369501466276,,
3,3,slowloris,929,,1.0,1.0
3,4,benign,1705,0.13958944281524927,,
3,5,portscan,694,,1.0,1.0
3,6,benign,1706,0.0873388042203986,,
4,0,benign,1705,0.01818181818181818,,
4,1,apache_bench,1487,,0.9475453934095495,0.9730662983425414
4,2,benign,1705,0.01818181818181818,,
4,3,slowloris,929,,1.0,1.0
4,4,benign,1705,0.1530791788856305,,
4,5,portscan,694,,1.0,1.0
4,6,benign,1706,0.09671746776084408,,
