feature,attack_type,ks_stat,ks_p,mean_shift_benign_std,n_attack
concurrency_src_1s_scaled,apache_bench,0.9914457773951976,0.0,4.1143516627978745,1487
concurrency_src_1s_scaled,portscan,0.9529060745189779,1.4e-322,3.6116342075334256,694
concurrency_src_1s_scaled,slowloris,0.9265030159977363,2.17e-322,3.1786172831106754,929
concurrency_dst_1s_scaled,apache_bench,0.9455789791149942,0.0,3.1287520713584844,1487
concurrency_dst_1s_scaled,portscan,0.853938527694816,8.25e-322,-1.8121715447238282,694
concurrency_dst_1s_scaled,slowloris,0.9326023966068191,1.9e-322,3.051370062850446,929
byte_ratio_var_src_1s_scaled,apache_bench,0.960995292535306,0.0,313.0717398316175,1487
byte_ratio_var_src_1s_scaled,portscan,0.8510482333968626,8.65e-322,-0.45685876850690843,694
byte_ratio_var_src_1s_scaled,slowloris,0.9994135757220349,0.0,128.55362809080472,929
concurrency_src_2s_scaled,apache_bench,0.9859797470665723,0.0,3.813350994849856,1487
concurrency_src_2s_scaled,portscan,0.963021893313876,1.04e-322,3.449976430754627,694
concurrency_src_2s_scaled,slowloris,0.9684520782002141,5e-324,3.526028569050202,929
concurrency_dst_2s_scaled,apache_bench,0.9466884331163294,0.0,2.9876376913626403,1487
concurrency_dst_2s_scaled,portscan,0.8774206373181314,6.2e-322,-1.933640401839307,694
concurrency_dst_2s_scaled,slowloris,0.9454614374748785,1.24e-322,3.0491078677410184,929
byte_ratio_var_src_2s_scaled,apache_bench,1.0,0.0,331.73336606474214,1487
byte_ratio_var_src_2s_scaled,portscan,1.0,0.0,329.92032995704204,694
byte_ratio_var_src_2s_scaled,slowloris,0.9988271514440697,0.0,297.10639627078405,929
concurrency_src_5s_scaled,apache_bench,0.9708121808643685,0.0,3.14753731466201,1487
concurrency_src_5s_scaled,portscan,0.9365197831582158,2e-322,2.8115400760814047,694
concurrency_src_5s_scaled,slowloris,0.9468271306130674,1.14e-322,3.0970273062258427,929
concurrency_dst_5s_scaled,apache_bench,0.9084678265734001,0.0,2.3102059447555816,1487
concurrency_dst_5s_scaled,portscan,0.9101389293193972,3.6e-322,-2.2608819626613146,694
concurrency_dst_5s_scaled,slowloris,0.9241798858050764,2.3e-322,2.3905716328654423,929
byte_ratio_var_src_5s_scaled,apache_bench,1.0,0.0,445.42105103611,1487
byte_ratio_var_src_5s_scaled,portscan,1.0,0.0,445.2548315273672,694
byte_ratio_var_src_5s_scaled,slowloris,1.0,0.0,445.6142955873981,929
