src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.3,192.168.10.1,65379,80,6,2026-07-06 16:51:16,113069761.0,890.5829384392172,1.1497326858239314,0.5394899525789216,0.6102427332450097,61,69,9717,90981,552,60,159.29508196721312,179.55412392489322,1514,66,1318.5652173913043,426.8557601223045,1514,60,774.6,668.2376661499549,446541.5784615385,1220,1380,20,14,876509.7751937985,45001708.0,0.0,4788784.629889619,113069761.0,45001708.0,0.0,1884496.0166666666,6885146.812475779,113067155.0,45003578.0,3.0,1662752.2794117648,6496431.234227915,13,24,0,0,0,2,0,37,129,0,2,1.1311475409836065,774.6,65535,501,20628914.0,2268.0,11721299.2,7281777.260890405,45000370.0,7689975.0,20720733.6,12844240.474003695,0,0,8765.222222222223,6.666666666666667,0,47579613.99276236429433051870,159.29508196721312,1318.5652173913043,0,61,69,9717,90981
192.168.10.3,192.168.10.1,65380,80,6,2026-07-06 16:51:16,113056711.0,1314.1723183509202,1.5478957281890147,0.6810741204031665,0.8668216077858483,77,98,9448,139128,555,60,122.7012987012987,146.79166834128316,1514,66,1419.6734693877552,302.47427873478205,1514,60,849.0057142857142,689.3434018554415,475194.32568163273,1540,1960,20,11,649751.2126436782,45000463.0,0.0,4149351.028960928,113056711.0,45000463.0,0.0,1487588.3026315789,6178330.992530282,113055148.0,45003892.0,3.0,1165516.9896907217,5503532.052913563,10,26,0,0,0,2,0,36,174,0,2,1.2727272727272727,849.0057142857142,65535,501,20632025.0,11506.0,11888004.0,7263860.323808353,44997629.0,7659971.0,20883494.2,12763439.480533756,0,0,12844.1,9.1,0,32698828.92057026476578411405,122.7012987012987,1419.6734693877552,0,77,98,9448,139128
192.168.10.3,192.168.10.1,65381,80,6,2026-07-06 16:51:16,113057192.0,1724.3308147968155,2.052058749168297,0.9198884047995814,1.1321703443687157,104,128,14351,180597,611,60,137.9903846153846,163.4289127508624,1514,66,1410.9140625,310.99670987366744,1514,60,840.2931034482758,682.7033297883947,466083.8365041617,2080,2560,20,18,489425.0735930736,45001197.0,0.0,3596906.2915556417,113057192.0,45001197.0,0.0,1097642.640776699,5324292.800549095,113055157.0,45004211.0,3.0,890198.0866141733,4814508.912665549,17,37,0,0,0,2,0,54,231,0,2,1.2307692307692308,840.2931034482758,65535,469,20629748.0,2768.0,11720243.2,7181196.470681454,44998553.0,7687587.0,20719375.4,12830209.267586146,0,0,11478.0,8.214285714285714,0,36839064.64924346629986244842,137.9903846153846,1410.9140625,0,104,128,14351,180597
192.168.10.3,192.168.10.1,65382,80,6,2026-07-06 16:51:16,128239504.00000001,1215.4133097707552,1.504996463492248,0.7096097314911636,0.7953867320010845,91,102,11294,144570,554,60,124.10989010989012,149.40250601407138,1514,66,1417.3529411764705,309.11777205646615,1514,60,807.5854922279793,691.2203477299763,477785.56911594945,1820,2040,20,13,667914.0833333334,45001714.0,0.0,3977153.9750914546,128239504.0,45001714.0,0.0,1424883.3777777778,5715413.380527489,113049864.0,45004382.0,3.0,1119305.584158416,5233165.531156092,12,27,0,0,0,2,0,39,192,0,2,1.120879120879121,807.5854922279793,65535,501,44999243.0,2310.0,14917270.714285715,13418080.716938604,44999563.0,6072757.0,17086138.57142857,11982043.067098746,0,0,14124.0,10.0,0,30100876.15439261188728392138,124.10989010989012,1417.3529411764705,0,91,102,11294,144570
192.168.10.3,192.168.10.1,65386,80,6,2026-07-06 16:51:24,105353349.0,1176.317612836399,1.347845145387832,0.5695120332624642,0.7783331121253678,60,82,7014,116915,555,60,116.9,140.41435111839533,1514,66,1425.7926829268292,303.1985881380378,1514,60,872.7394366197183,692.4133309224478,479436.22083911917,1200,1640,20,8,747186.8723404255,45001570.0,0.0,4900043.240627555,105353349.0,45001570.0,0.0,1785649.9830508474,7451611.541119782,105351274.0,45002358.0,3.0,1300633.012345679,6409406.094286366,7,19,0,0,0,2,0,26,141,0,2,1.3666666666666667,872.7394366197183,65535,501,31131757.0,1922.0,14493293.75,12176160.478158075,44997192.0,6214737.0,25742725.25,14206583.512600178,0,0,20430.4,14.2,0,27357257.63256561328334226031,116.9,1425.7926829268292,0,60,82,7014,116915
192.168.10.3,192.168.10.1,65387,80,6,2026-07-06 16:51:24,105336834.0,6.968122850550075,0.10442690920442892,0.05696013229332486,0.04746677691110405,6,5,396,338,78,60,66.0,6.0,74,66,67.6,3.1999999999999997,78,60,66.72727272727273,4.99255644281672,24.92561983471074,120,100,20,2,10533683.4,45002123.0,13.0,17792742.403450232,105336790.0,45002123.0,1797.0,21067358.0,20279353.564213037,105336821.0,45003944.0,331181.0,26334205.25,19375796.479735967,0,0,0,0,2,2,0,0,10,0,2,0.8333333333333334,66.72727272727273,65535,510,30002625.0,1784.0,15002204.5,15000420.5,45000339.0,30001791.0,37501065.0,7499274.0,0,0,0,0,0,0,66.0,67.6,0,6,5,396,338
192.168.10.1,192.168.10.3,80,65382,6,2026-07-06 16:53:24,25975035.0,745.7160307964937,0.9239641063043804,0.5004805575815394,0.423483548722841,13,11,17388,1982,1514,265,1337.5384615384614,349.01479258591166,505,66,180.1818181818182,186.97730449627895,1514,66,807.0833333333334,643.8538859002784,414547.8263888888,260,220,20,13,1129349.347826087,25961391.0,3.0,5294209.225892952,25972536.0,25963700.0,3.0,2164378.0,7175765.830414805,25974285.0,25961391.0,161.0,2597428.5,7787987.683744335,6,3,0,0,0,0,0,9,24,0,0,0.8461538461538461,807.0833333333334,501,2011,0,0,0,0,0,0,0,0,6382.0,5.0,0,0,193393939.3939393939393939394,0,1337.5384615384614,180.1818181818182,0,13,11,17388,1982
192.168.10.3,192.168.10.1,65379,80,6,2026-07-06 16:53:24,25967634.0,4392.005833107475,4.967722511800652,2.156530702797182,2.8111918090034695,56,73,6308,107742,555,66,112.64285714285714,135.37730720516808,1514,393,1475.9178082191781,158.76438590191609,1514,66,884.1085271317829,691.9395864688166,478780.3913226369,1120,1460,20,6,202872.140625,16138937.0,0.0,1656591.9581784077,25967634.0,16138936.999999998,0.0,472138.8,2501918.4967483534,25965444.0,16139986.0,3.0,360631.1666666667,2196079.781656408,6,16,0,0,0,0,0,22,129,0,0,1.3035714285714286,884.1085271317829,2048,501,9797429.0,1475.0,4899452.0,4897977.0,16134694.0,9800197.0,12967445.5,3167248.5,0,0,15892.666666666666,11.166666666666666,0,32128032.34501347708894878706,112.64285714285714,1475.9178082191781,0,56,73,6308,107742
192.168.10.3,192.168.10.1,65381,80,6,2026-07-06 16:53:24,25968915.0,580.7327722394255,0.7316439674125778,0.3465681950901684,0.3850757723224093,9,10,1469,13612,505,66,163.22222222222223,181.88749744937132,1514,186,1361.2,396.2455804169934,1514,66,793.7368421052631,675.3531506673701,456101.87811634346,180,200,20,2,1442717.5,25963313.0,3.0,5947117.994808356,25968915.0,25963313.0,129.0,3246114.375,8586294.05760899,25965577.0,25965522.0,3.0,2885064.111111111,8160174.143062763,2,4,0,0,0,0,0,6,19,0,0,1.1111111111111112,793.7368421052631,2048,463,0,0,0,0,0,0,0,0,0,0,6476.0,5.0,0,235490909.0909090909090909091,163.22222222222223,1361.2,0,9,10,1469,13612
192.168.10.3,192.168.10.1,65386,80,6,2026-07-06 16:53:24,27640267.0,1337.1795576359664,1.7004177275132688,0.8321193134639401,0.8682984140493288,23,24,4138,32822,552,66,179.91304347826087,192.37235475334273,1514,265,1367.5833333333333,319.8452642381243,1514,66,786.3829787234042,650.2531930174777,422829.21502942505,460,480,20,6,600875.3695652174,25957342.0,3.0,3787716.8251432693,27640267.0,25957342.0,24.0,1256375.7727272727,5401323.651204414,27639347.0,25960798.0,3.0,1201710.7391304348,5289598.217024792,6,10,0,0,0,0,0,16,47,0,0,1.0434782608695652,786.3829787234042,2048,501,0,0,0,0,0,0,0,0,0,0,6880.25,5.25,0,2.3725E+8,179.91304347826087,1367.5833333333333,0,23,24,4138,32822
