src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.3,192.168.10.1,52342,80,6,2026-07-08 14:37:37,114652052.0,418.99817022027656,0.5930988483311228,0.2965494241655614,0.2965494241655614,34,34,6561,41478,551,60,192.97058823529412,197.95372086812696,1514,66,1219.9411764705883,491.3813028342516,1514,60,706.4558823529412,635.6003284025253,403987.77746539796,680,680,20,12,1711224.656716418,45420359.0,3.0,7972466.968200387,114652052.0,45420359.0,157.0,3474304.606060606,11086977.151223958,114649278.0,45423124.0,3.0,3474220.5454545454,11087581.842991862,10,14,0,0,0,2,0,24,67,0,2,1.0,706.4558823529412,65535,501,45160432.0,4671.0,21083947.666666668,18556187.256009325,45418150.0,18083640.0,36220953.333333336,12825446.678257339,0,0,6973.0,5.25,0,284612244.8979591836734693878,192.97058823529412,1219.9411764705883,0,34,34,6561,41478
192.168.10.3,192.168.10.1,52345,80,6,2026-07-08 14:37:55,96549022.0,399.7244011441152,0.5696587998581695,0.2796506835667378,0.29000811629143175,27,28,3951,34642,501,60,146.33333333333334,168.53354430366542,1514,66,1237.2142857142858,513.4106096309587,1514,60,701.6909090909091,667.4893495296664,445542.0317355371,540,560,20,7,1787944.851851852,45422321.0,0.0,8558364.136096198,96549022.0,45422321.0,0.0,3713423.923076923,12040571.521274516,96545717.0,45424549.0,3.0,3575767.296296296,11836877.001983302,5,10,0,0,0,2,0,15,54,0,2,1.037037037037037,701.6909090909091,65535,501,45162138.0,1242.0,22581690.0,22580448.0,45420477.0,45162740.0,45291608.5,128868.5,0,0,6557.2,4.8,0,295369369.3693693693693693694,146.33333333333334,1237.2142857142858,0,27,28,3951,34642
192.168.10.3,192.168.10.1,52346,80,6,2026-07-08 14:37:55,96547352.0,1451.6607353456984,1.7297211838601227,0.7561056671963411,0.9736155166637817,73,94,8708,131446,548,60,119.28767123287672,142.39328899955603,1514,66,1398.3617021276596,353.73117124731374,1514,60,839.245508982036,694.1420885715959,481833.2391265373,1460,1880,20,10,581610.5542168674,45163274.0,0.0,4699420.8041458335,96547352.0,45163274.0,0.0,1340935.4444444445,7063920.132997189,96545159.0,45164737.0,3.0,1038119.9892473118,6241013.990160538,9,23,0,0,0,2,0,32,166,0,2,1.2876712328767124,839.245508982036,65535,501,45161273.0,40244286.0,42702779.5,2458493.5,45163274.0,6222248.0,30544026.0,17314833.57863702,0,0,16821.571428571428,12.142857142857142,0,20453534.82716692721903769324,119.28767123287672,1398.3617021276596,0,73,94,8708,131446
192.168.10.3,192.168.10.1,52347,80,6,2026-07-08 14:37:55,96541883.0,153.45671266842805,0.2589549656909012,0.12429838353163258,0.13465658215926865,12,13,1656,13159,498,60,138.0,161.0527863776346,1514,66,1012.2307692307693,645.7668254868845,1514,60,592.6,648.1219638308827,420062.08,240,260,20,4,4022578.4583333335,45419759.0,3.0,12482271.705533847,96541883.0,45419759.0,101.0,8776534.818181818,17269034.128166996,96539485.0,45422871.0,3.0,8044957.083333333,16712021.13080328,2,4,0,0,0,2,0,6,24,0,2,1.0833333333333333,592.6,65535,504,45161859.0,1704.0,22581781.5,22580077.5,45417050.0,45162864.0,45289957.0,127093.0,0,0,6146.5,4.5,0,267239130.4347826086956521739,138.0,1012.2307692307693,0,12,13,1656,13159
192.168.10.3,192.168.10.1,52348,80,6,2026-07-08 14:37:55,132188420.00000001,845.8229548397658,0.9985746103932552,0.43120267266981477,0.5673719377234405,57,75,5971,105837,551,60,104.75438596491227,125.54404842444107,1514,66,1411.16,348.5314348328809,1514,60,847.030303030303,703.2533805560728,494565.31726354454,1140,1500,20,7,1009071.9083969466,45419041.0,0.0,5958152.8392326115,132188420.0,45419041.0,0.0,2360507.5,8936084.758551177,111104530.0,45422650.0,3.0,1501412.5675675676,7509496.826140224,5,15,0,0,0,2,0,20,131,0,2,1.3157894736842106,847.030303030303,65535,501,45417079.0,1506.0,26281271.25,19691383.653541137,45415997.0,14547502.0,31551329.25,13931146.610446326,0,0,24288.5,17.0,0,19139873.91646966115051221434,104.75438596491227,1411.16,0,57,75,5971,105837
192.168.10.3,192.168.10.1,52349,80,6,2026-07-08 14:37:55,90293484.0,6.733597742224677,0.0996749665789837,0.05537498143276872,0.04429998514621498,5,4,336,272,78,60,67.2,5.878775382679627,74,66,68.0,3.4641016151377544,78,60,67.55555555555556,4.969039949999533,24.691358024691358,100,80,20,1,11286685.5,45163863.0,9.0,16423978.270367369,90293417.0,45163863.0,1609.0,22573354.25,16873753.277229868,90293475.0,45165511.0,14846809.0,30097825.0,12378237.089286342,0,0,0,0,2,2,0,0,8,0,2,0.8,67.55555555555556,65535,510,30317054.0,1600.0,15159327.0,15157727.0,45162263.0,15433356.0,30297809.5,14864453.5,0,0,0,0,0,0,67.2,68.0,0,5,4,336,272
192.168.10.3,192.168.10.1,52333,80,6,2026-07-08 14:37:27,28994.0,436366.1447195972,827.7574670621508,448.3686279919984,379.38883907015247,13,11,2161,10491,548,66,166.23076923076923,182.0017556323412,1514,66,953.7272727272727,645.5658674807694,1514,66,527.1666666666666,602.4254218481229,362916.38888888893,260,220,20,3,1260.608695652174,19592.0,3.0,3977.357564351864,28994.0,19592.0,27.0,2416.1666666666665,5251.237280129533,28478.0,22583.0,3.0,2847.8,6660.9630805162105,3,4,0,0,2,2,0,7,23,0,2,0.8461538461538461,527.1666666666666,65535,501,0,0,0,0,0,0,0,0,0,0,5991.0,5.0,0,2.49625E+8,166.23076923076923,953.7272727272727,0,13,11,2161,10491
192.168.10.3,192.168.10.1,52334,80,6,2026-07-08 14:37:27,25362.0,3833096.7589306836,4376.626449018217,1774.3080198722498,2602.3184291459665,45,66,3836,93379,495,66,85.24444444444444,87.9576048270619,1514,66,1414.8333333333333,349.4226226103845,1514,66,875.8108108108108,708.4258849574323,501867.23447772115,900,1320,20,2,230.56363636363636,11369.0,3.0,1095.6698700485613,25362.0,11369.0,131.0,576.4090909090909,1680.2134106630328,24860.0,11915.0,3.0,382.46153846153845,1541.3236077817419,2,12,0,0,2,2,0,14,110,0,2,1.4666666666666666,875.8108108108108,65535,503,0,0,0,0,0,0,0,0,0,0,21358.0,14.75,0,25888484.84848484848484848485,85.24444444444444,1414.8333333333333,0,45,66,3836,93379
192.168.10.3,192.168.10.1,52335,80,6,2026-07-08 14:37:27,25128.0,590058.8984399872,994.9060808659663,517.3511620503024,477.55491881566377,13,12,1734,13093,498,66,133.3846153846154,155.50490393530677,1514,66,1091.0833333333333,609.04480655276,1514,66,593.08,647.7294447529771,419553.43360000005,260,240,20,2,1047.0,18961.0,3.0,3770.4470225690748,25128.0,18961.0,111.0,2094.0,5126.024791850569,24653.0,21871.0,3.0,2241.181818181818,6231.409468727132,2,4,0,0,2,2,0,6,24,0,2,0.9230769230769231,593.08,65535,503,0,0,0,0,0,0,0,0,0,0,6146.5,4.5,0,267239130.4347826086956521739,133.3846153846154,1091.0833333333333,0,13,12,1734,13093
192.168.10.3,192.168.10.1,52336,80,6,2026-07-08 14:37:27,23281.0,435505.3477084318,773.1626648339848,386.5813324169924,386.5813324169924,9,9,1038,9101,498,66,115.33333333333333,135.34482709812823,1514,66,1011.2222222222222,668.9676587063547,1514,66,563.2777777777778,658.461996334856,433572.200617284,180,180,20,1,1369.4705882352941,16971.0,4.0,3980.5065317287135,23281.0,16971.0,133.0,2910.125,5407.682369497584,22773.0,19844.0,4.0,2846.625,6491.392684499606,1,2,0,0,2,2,0,3,17,0,2,1.0,563.2777777777778,65535,506,0,0,0,0,0,0,0,0,0,0,8499.0,6.0,0,242828571.4285714285714285714,115.33333333333333,1011.2222222222222,0,9,9,1038,9101
