src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.3,192.168.10.1,49887,80,6,2026-07-06 17:24:44,9933222.0,4071.5892587520943,6.342352964627187,3.5235294247928817,2.8188235398343053,35,28,7980,32464,914,66,228.0,234.58741897820767,1514,66,1159.4285714285713,494.0661775057083,1514,66,641.968253968254,594.3690523746681,353274.5704207609,700,560,20,12,160213.25806451612,4667201.0,4.0,730839.5666814704,9933222.0,4667201.0,161.0,292153.5882352941,967185.913155429,9932597.0,4668100.0,4.0,367873.962962963,1072853.116980052,12,14,0,0,2,2,0,26,62,0,2,0.8,641.968253968254,65535,490,0,0,0,0,0,0,0,0,0,0,7414.5,5.5,0,200391891.8918918918918918919,228.0,1159.4285714285713,0,35,28,7980,32464
192.168.10.3,192.168.10.1,49888,80,6,2026-07-06 17:24:44,9928538.0,2614.7857821564467,3.9280707794037752,2.0143952714891156,1.91367550791466,20,19,2652,23309,507,66,132.6,156.88193012581146,1514,66,1226.7894736842106,521.9470207988313,1514,66,665.6666666666666,666.6776152947111,444459.04273504287,400,380,20,3,261277.31578947368,7383507.0,4.0,1239221.5433237045,9928538.0,7383507.0,134.0,522554.63157894736,1713128.2739731525,9928066.0,7384877.0,4.0,551559.2222222222,1756137.089589805,3,6,0,0,2,2,0,9,38,0,2,0.95,665.6666666666666,65535,501,0,0,0,0,0,0,0,0,0,0,7349.0,5.333333333333333,0,130455621.3017751479289940828,132.6,1226.7894736842106,0,20,19,2652,23309
192.168.10.3,192.168.10.1,49889,80,6,2026-07-06 17:24:44,9928538.0,2209.7916128235597,3.4244719615314967,1.7122359807657483,1.7122359807657483,17,17,2454,19486,507,66,144.35294117647058,167.4346022205722,1514,66,1146.235294117647,583.389339212902,1514,66,645.2941176470588,659.6444465374894,435130.7958477508,340,340,20,3,300864.7878787879,7380174.0,4.0,1324941.1581966577,9928538.0,7380174.0,96.0,620533.625,1849943.1869823015,9927927.0,7382052.0,4.0,620495.4375,1850628.0949204436,3,6,0,0,2,2,0,9,33,0,2,1.0,645.2941176470588,65535,501,0,0,0,0,0,0,0,0,0,0,6118.666666666667,4.666666666666667,0,244746666.6666666666666666667,144.35294117647058,1146.235294117647,0,17,17,2454,19486
192.168.10.3,192.168.10.1,49890,80,6,2026-07-06 17:24:44,9926385.0,1535.40286821436,2.5185402339320913,1.2088993122874037,1.3096409216446874,12,13,1683,13558,507,66,140.25,163.37896896479668,1514,66,1042.923076923077,634.4382689905798,1514,66,609.64,652.3016406540766,425497.4304,240,260,20,2,413599.375,7382798.0,4.0,1538876.4448487195,9926385.0,7382798.0,167.0,902398.6363636364,2173881.5116998474,9925810.0,7384188.0,4.0,827150.8333333334,2096981.3941759567,2,4,0,0,2,2,0,6,24,0,2,1.0833333333333333,609.64,65535,503,0,0,0,0,0,0,0,0,0,0,6346.0,5.0,0,76921212.12121212121212121212,140.25,1042.923076923077,0,12,13,1683,13558
192.168.10.3,192.168.10.1,49891,80,6,2026-07-06 17:24:44,9925877.0,10587.981293743616,12.492598890757966,5.33957855814655,7.1530203326114155,53,71,4386,100709,507,66,82.75471698113208,83.43699592549363,1514,66,1418.4366197183099,348.8176299166749,1514,66,847.5403225806451,713.6223633031321,509256.87740634754,1060,1420,20,2,80698.18699186992,7379299.0,0.0,698800.1401213364,9925877.0,7379299.0,0.0,190882.25,1064911.423796669,9925441.0,7381709.0,3.0,141792.01428571428,921964.4432171759,2,11,0,0,2,2,0,13,123,0,2,1.3396226415094339,847.5403225806451,65535,503,0,0,0,0,0,0,0,0,0,0,23198.0,16.25,0,36317808.21917808219178082192,82.75471698113208,1418.4366197183099,0,53,71,4386,100709
192.168.10.3,192.168.10.1,49892,80,6,2026-07-06 17:24:44,9925307.0,1022.1346301933029,1.8135459185292706,0.9067729592646353,0.9067729592646353,9,9,1044,9101,504,66,116.0,137.22973438726754,1514,66,1011.2222222222222,668.9676587063547,1514,66,563.6111111111111,658.4303843138273,433530.5709876543,180,180,20,1,583841.5882352941,7384004.0,3.0,1801289.2509535253,9925307.0,7384004.0,183.0,1240663.375,2465759.8575470573,9924859.0,7385112.0,3.0,1240607.375,2466697.615236307,1,2,0,0,2,2,0,3,17,0,2,1.0,563.6111111111111,65535,506,0,0,0,0,0,0,0,0,0,0,8499.0,6.0,0,249970588.2352941176470588235,116.0,1011.2222222222222,0,9,9,1044,9101
192.168.10.3,192.168.10.1,49919,80,6,2026-07-06 17:25:03,9152821.0,1431.5804930523607,2.6221423974094984,1.420327131930145,1.2018152654793535,13,11,2188,10915,557,66,168.30769230769232,185.769246695333,1514,66,992.2727272727273,621.1631451499372,1514,66,545.9583333333334,603.3978427184027,364088.95659722225,260,220,20,3,397948.73913043475,9143592.0,4.0,1864577.5609892053,9152821.0,9143592.0,107.0,762735.0833333334,2526923.607353101,9152083.0,9145502.0,4.0,915208.3,2743431.5493301833,3,4,0,0,2,2,0,7,23,0,2,0.8461538461538461,545.9583333333334,65535,501,0,0,0,0,0,0,0,0,0,0,6330.0,5.0,0,218275862.0689655172413793103,168.30769230769232,992.2727272727273,0,13,11,2188,10915
192.168.10.3,192.168.10.1,49920,80,6,2026-07-06 17:25:03,9147826.0,1978.1749237469098,3.060836530996545,1.5304182654982725,1.5304182654982725,14,14,1818,16278,507,66,129.85714285714286,153.9985422671532,1514,66,1162.7142857142858,580.9664888997385,1514,66,646.2857142857143,668.8178193725136,447317.27551020414,280,280,20,2,338808.3703703704,9142797.0,4.0,1726604.2392217529,9147826.0,9142797.0,134.0,703678.9230769231,2436163.5621387116,9146978.0,9144261.0,4.0,703613.6923076923,2436605.0544286594,2,4,0,0,2,2,0,6,27,0,2,1.0,646.2857142857143,65535,503,0,0,0,0,0,0,0,0,0,0,7673.0,5.5,0,184891566.2650602409638554217,129.85714285714286,1162.7142857142858,0,14,14,1818,16278
192.168.10.3,192.168.10.1,49921,80,6,2026-07-06 17:25:03,9147551.0,5762.963223708728,8.19891575351698,4.04479843840171,4.154117315115269,37,38,5535,47182,507,66,149.59459459459458,172.2411037140073,1514,66,1241.6315789473683,507.33366063498727,1514,66,702.8933333333333,665.6790132054804,443128.54862222215,740,760,20,7,123615.55405405405,7489357.0,4.0,875287.6262723838,9147551.0,7489357.0,46.0,254098.63888888888,1241637.6373270582,9146801.0,7490979.0,4.0,247210.83783783784,1225796.54563369,7,14,0,0,2,2,0,21,74,0,2,1.027027027027027,702.8933333333333,65535,501,0,0,0,0,0,0,0,0,0,0,6380.857142857143,5.0,0,191699570.8154506437768240343,149.59459459459458,1241.6315789473683,0,37,38,5535,47182
192.168.10.3,192.168.10.1,49922,80,6,2026-07-06 17:25:03,9146504.0,14582.074200153413,17.274359689778738,7.653197330914631,9.621162358864108,70,88,8995,124380,919,66,128.5,169.25827686028913,1514,66,1413.409090909091,315.3704760913467,1514,66,844.1455696202531,689.5490254915318,475477.8585563211,1400,1760,20,9,58257.987261146496,4459680.0,0.0,420625.33551247325,9146504.0,4459680.0,0.0,132558.02898550723,626674.5463876548,9145721.0,4460559.0,3.0,105123.22988505747,560900.494620449,9,22,0,0,2,2,0,31,157,0,2,1.2571428571428571,844.1455696202531,65535,495,0,0,0,0,0,0,0,0,0,0,15804.0,11.142857142857142,0,21632381.69730152522487289793,128.5,1413.409090909091,0,70,88,8995,124380
