epoch_millis,thread_label,page
1783513286613,bot-browsing-1,HOME
1783513288239,bot-browsing-2,HOME
1783513288254,bot-browsing-3,HOME
1783513301265,bot-browsing-4,HOME
1783513303361,bot-browsing-3,PRODUCTS
1783513304023,bot-browsing-1,CONTACT
1783513307874,bot-browsing-2,ABOUT
1783513309462,bot-browsing-4,PRODUCTS
1783513311219,bot-browsing-5,HOME
1783513316892,bot-browsing-3,PRODUCT_DETAIL
1783513317410,bot-browsing-2,HOME
1783513317884,bot-browsing-6,HOME
1783513318386,bot-browsing-4,PRODUCT_DETAIL
1783513321544,bot-browsing-5,PRODUCTS
1783513325323,bot-browsing-7,HOME
1783513327306,bot-browsing-6,ABOUT
1783513328225,bot-browsing-3,CONTACT
1783513335406,bot-browsing-7,PRODUCTS
1783513336363,bot-browsing-1,HOME
1783513338925,bot-browsing-6,PRODUCTS
1783513340892,bot-browsing-5,HOME
1783513341422,bot-browsing-4,HOME
1783513345064,bot-browsing-6,CONTACT
1783513345302,bot-browsing-7,CONTACT
1783513345663,bot-form_filling-8,PRODUCTS
1783513345706,bot-form_filling-8,ABOUT
1783513345754,bot-form_filling-8,HOME
1783513346361,bot-form_filling-8,CONTACT
1783513347459,bot-browsing-2,PRODUCTS
1783513347480,bot-browsing-4,PRODUCTS
1783513349078,bot-browsing-3,HOME
1783513350476,bot-form_filling-8,SUBMIT_CONTACT
1783513353637,bot-browsing-1,PRODUCTS
1783513353813,bot-browsing-2,PRODUCT_DETAIL
1783513358586,bot-browsing-4,HOME
1783513359721,bot-browsing-1,HOME
1783513360205,bot-browsing-2,PRODUCTS
1783513361183,bot-browsing-6,PRODUCTS
1783513364305,bot-browsing-5,PRODUCTS
1783513365385,bot-browsing-9,HOME
1783513366495,bot-browsing-7,HOME
1783513366999,bot-browsing-3,PRODUCTS
1783513369704,bot-browsing-4,ABOUT
1783513370378,bot-browsing-1,CONTACT
1783513372402,bot-browsing-9,PRODUCTS
1783513372482,bot-form_filling-10,ABOUT
1783513372776,bot-form_filling-10,PRODUCTS
1783513373179,bot-form_filling-10,ABOUT
1783513373210,bot-form_filling-10,PRODUCTS
1783513373227,bot-form_filling-10,CONTACT
1783513374569,bot-browsing-6,PRODUCT_DETAIL
1783513377675,bot-form_filling-10,SUBMIT_CONTACT
1783513377745,bot-browsing-7,PRODUCTS
1783513379865,bot-browsing-3,CONTACT
1783513380203,bot-form_filling-10,HOME
1783513382277,bot-browsing-2,HOME
1783513385081,bot-browsing-11,HOME
1783513387335,bot-browsing-5,PRODUCT_DETAIL
1783513389819,bot-browsing-12,HOME
1783513390152,bot-browsing-13,HOME
1783513393759,bot-browsing-7,PRODUCT_DETAIL
1783513397044,bot-browsing-12,ABOUT
1783513398195,bot-browsing-11,ABOUT
1783513398848,bot-browsing-5,CONTACT
1783513402655,bot-browsing-2,PRODUCTS
1783513402756,bot-browsing-1,PRODUCTS
1783513404847,bot-browsing-9,HOME
1783513405018,bot-browsing-3,HOME
1783513406469,bot-browsing-12,PRODUCTS
1783513406631,bot-browsing-5,HOME
1783513407503,bot-browsing-6,HOME
1783513408496,bot-searching-14,HOME
1783513408516,bot-searching-14,PRODUCTS
1783513408757,bot-searching-14,PRODUCT_DETAIL
1783513409914,bot-browsing-2,PRODUCT_DETAIL
1783513410529,bot-browsing-7,PRODUCTS
1783513410899,bot-browsing-1,HOME
1783513411271,bot-browsing-3,PRODUCTS
1783513411639,bot-browsing-11,PRODUCTS
1783513414672,bot-browsing-13,PRODUCTS
1783513417227,bot-browsing-2,HOME
1783513420191,bot-browsing-1,PRODUCTS
1783513421109,bot-form_filling-15,ABOUT
1783513421183,bot-form_filling-15,PRODUCTS
1783513421225,bot-browsing-3,PRODUCT_DETAIL
1783513421310,bot-form_filling-15,HOME
1783513421351,bot-form_filling-15,ABOUT
1783513421769,bot-browsing-7,PRODUCT_DETAIL
1783513422405,bot-form_filling-15,HOME
1783513422514,bot-browsing-6,CONTACT
1783513422705,bot-browsing-11,PRODUCT_DETAIL
1783513426686,bot-form_filling-15,PRODUCTS
1783513427521,bot-form_filling-15,CONTACT
1783513428702,bot-browsing-6,HOME
1783513431043,bot-browsing-13,CONTACT
1783513432379,bot-form_filling-15,SUBMIT_CONTACT
1783513438521,bot-browsing-9,PRODUCTS
1783513439165,bot-browsing-12,PRODUCT_DETAIL
1783513439805,bot-browsing-11,PRODUCTS
1783513441607,bot-browsing-12,PRODUCTS
1783513442683,bot-browsing-7,PRODUCTS
1783513442895,bot-searching-16,HOME
1783513442952,bot-searching-16,PRODUCTS
