epoch_millis,thread_label,page
1783515998923,bot-browsing-1,HOME
1783516014667,bot-browsing-2,HOME
1783516020041,bot-browsing-1,CONTACT
1783516021968,bot-browsing-2,PRODUCTS
1783516022829,bot-browsing-3,HOME
1783516025955,bot-browsing-4,HOME
1783516026930,bot-browsing-4,PRODUCTS
1783516030486,bot-browsing-1,PRODUCTS
1783516032101,bot-browsing-5,HOME
1783516033069,bot-browsing-3,PRODUCTS
1783516036574,bot-browsing-6,HOME
1783516040084,bot-form_filling-7,PRODUCTS
1783516040161,bot-form_filling-7,ABOUT
1783516040748,bot-form_filling-7,PRODUCTS
1783516042149,bot-form_filling-7,HOME
1783516042214,bot-form_filling-7,CONTACT
1783516043599,bot-browsing-6,PRODUCTS
1783516043871,bot-browsing-1,PRODUCT_DETAIL
1783516045888,bot-form_filling-7,SUBMIT_CONTACT
1783516046639,bot-browsing-4,PRODUCT_DETAIL
1783516047444,bot-browsing-5,PRODUCTS
1783516047682,bot-browsing-2,PRODUCT_DETAIL
1783516049005,bot-browsing-3,PRODUCT_DETAIL
1783516055291,bot-browsing-2,PRODUCTS
1783516060484,bot-browsing-2,ABOUT
1783516062081,bot-browsing-4,HOME
1783516066977,bot-browsing-6,PRODUCT_DETAIL
1783516070460,bot-browsing-2,PRODUCTS
1783516078005,bot-browsing-2,PRODUCT_DETAIL
1783516078159,bot-browsing-3,PRODUCTS
1783516078631,bot-browsing-1,PRODUCTS
1783516079590,bot-browsing-6,PRODUCTS
1783516081405,bot-browsing-5,CONTACT
1783516081916,bot-browsing-8,HOME
1783516082424,bot-searching-9,HOME
1783516082446,bot-searching-9,PRODUCTS
1783516082666,bot-browsing-8,PRODUCTS
1783516085901,bot-searching-10,HOME
1783516086090,bot-searching-10,CONTACT
1783516086253,bot-searching-10,HOME
1783516086319,bot-searching-10,PRODUCTS
1783516090150,bot-browsing-1,PRODUCT_DETAIL
1783516092475,bot-searching-9,PRODUCT_DETAIL
1783516096424,bot-browsing-5,PRODUCTS
1783516096715,bot-searching-10,PRODUCT_DETAIL
1783516096805,bot-searching-10,HOME
1783516096991,bot-searching-10,PRODUCTS
1783516098664,bot-searching-10,PRODUCT_DETAIL
1783516098800,bot-searching-10,HOME
1783516099464,bot-browsing-4,PRODUCTS
1783516103557,bot-browsing-2,CONTACT
1783516103642,bot-browsing-8,PRODUCT_DETAIL
1783516105822,bot-browsing-1,PRODUCTS
1783516107382,bot-browsing-5,PRODUCT_DETAIL
1783516108709,bot-form_filling-11,ABOUT
1783516108778,bot-form_filling-11,PRODUCTS
1783516109142,bot-form_filling-11,HOME
1783516109172,bot-form_filling-11,PRODUCTS
1783516113182,bot-form_filling-11,HOME
1783516115457,bot-form_filling-11,CONTACT
1783516119477,bot-form_filling-11,SUBMIT_CONTACT
1783516119839,bot-searching-12,HOME
1783516119913,bot-searching-12,PRODUCTS
1783516120093,bot-browsing-13,HOME
1783516121123,bot-browsing-6,PRODUCT_DETAIL
1783516122002,bot-form_filling-11,HOME
1783516127190,bot-browsing-6,PRODUCTS
1783516127483,bot-browsing-6,PRODUCT_DETAIL
1783516131484,bot-searching-12,PRODUCT_DETAIL
1783516132204,bot-searching-12,HOME
1783516133245,bot-searching-12,PRODUCTS
1783516133667,bot-searching-12,PRODUCT_DETAIL
1783516133873,bot-searching-12,PRODUCTS
1783516133946,bot-searching-12,PRODUCT_DETAIL
1783516145910,bot-browsing-6,CONTACT
1783516146426,bot-browsing-2,PRODUCTS
1783516151511,bot-browsing-1,PRODUCT_DETAIL
1783516153650,bot-browsing-13,CONTACT
1783516158280,bot-browsing-5,HOME
1783516158366,bot-browsing-14,HOME
1783516159226,bot-browsing-2,CONTACT
1783516163716,bot-browsing-8,PRODUCTS
1783516167700,bot-browsing-15,HOME
1783516170693,bot-browsing-5,CONTACT
1783516172266,bot-browsing-1,PRODUCTS
1783516174749,bot-browsing-8,HOME
1783516174751,bot-browsing-13,HOME
1783516180996,bot-browsing-5,PRODUCTS
1783516181401,bot-browsing-1,CONTACT
1783516190254,bot-browsing-15,PRODUCTS
1783516194708,bot-searching-16,HOME
1783516194981,bot-searching-16,PRODUCTS
1783516196624,bot-browsing-13,PRODUCTS
1783516198872,bot-browsing-5,CONTACT
1783516201881,bot-browsing-17,HOME
1783516202746,bot-browsing-2,HOME
1783516203441,bot-browsing-15,HOME
1783516204852,bot-searching-16,PRODUCT_DETAIL
1783516205138,bot-searching-16,PRODUCTS
1783516205964,bot-searching-16,PRODUCT_DETAIL
1783516205974,bot-browsing-6,PRODUCTS
1783516211877,bot-browsing-8,PRODUCTS
1783516215388,bot-form_filling-18,PRODUCTS
1783516215787,bot-browsing-17,PRODUCTS
1783516216249,bot-form_filling-18,ABOUT
1783516216304,bot-form_filling-18,PRODUCTS
1783516216322,bot-form_filling-18,HOME
1783516216374,bot-form_filling-18,ABOUT
1783516216597,bot-form_filling-18,CONTACT
1783516217465,bot-browsing-6,PRODUCT_DETAIL
1783516217866,bot-browsing-14,CONTACT
1783516218983,bot-browsing-17,CONTACT
1783516221147,bot-searching-19,HOME
1783516221249,bot-form_filling-18,SUBMIT_CONTACT
1783516222356,bot-browsing-15,PRODUCTS
1783516223784,bot-form_filling-18,HOME
1783516224511,bot-searching-20,HOME
1783516225141,bot-searching-20,PRODUCTS
1783516225343,bot-searching-20,PRODUCT_DETAIL
1783516225842,bot-browsing-6,PRODUCTS
1783516229587,bot-browsing-21,HOME
1783516229783,bot-browsing-8,ABOUT
1783516230998,bot-searching-19,PRODUCTS
1783516231162,bot-searching-19,PRODUCT_DETAIL
1783516231529,bot-searching-22,HOME
1783516231753,bot-browsing-14,HOME
1783516232134,bot-browsing-23,HOME
1783516232164,bot-browsing-17,PRODUCTS
1783516232763,bot-searching-22,PRODUCTS
1783516232942,bot-searching-22,PRODUCT_DETAIL
1783516232998,bot-searching-22,HOME
1783516233207,bot-searching-22,PRODUCTS
1783516233286,bot-searching-22,PRODUCT_DETAIL
1783516234109,bot-searching-24,HOME
1783516234340,bot-searching-24,PRODUCTS
1783516236639,bot-searching-19,HOME
1783516236762,bot-searching-19,PRODUCTS
1783516236955,bot-searching-19,PRODUCT_DETAIL
1783516237030,bot-searching-19,HOME
1783516237493,bot-browsing-23,PRODUCTS
1783516238048,bot-browsing-14,ABOUT
1783516241468,bot-browsing-1,PRODUCTS
1783516241842,bot-browsing-25,HOME
1783516242991,bot-browsing-25,PRODUCTS
1783516244294,bot-browsing-23,PRODUCT_DETAIL
1783516244897,bot-searching-19,PRODUCTS
1783516244956,bot-browsing-21,PRODUCTS
1783516247205,bot-browsing-14,HOME
1783516248880,bot-browsing-15,PRODUCT_DETAIL
1783516250480,bot-browsing-23,HOME
1783516250657,bot-browsing-26,HOME
1783516253322,bot-browsing-14,CONTACT
1783516254729,bot-browsing-27,HOME
1783516255079,bot-browsing-25,CONTACT
1783516256524,bot-browsing-23,PRODUCTS
1783516257202,bot-browsing-21,PRODUCT_DETAIL
1783516258092,bot-searching-24,PRODUCT_DETAIL
1783516258741,bot-browsing-13,PRODUCT_DETAIL
1783516259004,bot-browsing-15,HOME
1783516259748,bot-browsing-14,PRODUCTS
1783516259828,bot-browsing-5,HOME
1783516264364,bot-browsing-21,HOME
1783516265237,bot-searching-28,HOME
