src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.3,192.168.10.1,49546,80,6,2026-07-06 17:20:39,20771514.0,3481.0173201626035,5.006856986929311,2.647857060395309,2.3589999265340023,55,49,9029,63277,617,66,164.16363636363636,186.21256315750009,1514,66,1291.3673469387754,432.3439529213461,1514,66,695.25,650.381644616333,422996.2836538461,1100,980,20,12,201665.18446601942,12886216.0,0.0,1435543.8675039331,20771514.0,12886216.0,0.0,384657.6666666667,1964782.2903879858,20770800.0,12888513.0,3.0,432725.0,2079428.4464423652,12,20,0,0,2,2,0,32,103,0,2,0.8909090909090909,695.25,65535,479,7084667.0,1585.0,3543126.0,3541541.0,12884393.0,7084905.0,9984649.0,2899744.0,0,0,6581.25,5.0,0,258088235.2941176470588235294,164.16363636363636,1291.3673469387754,0,55,49,9029,63277
192.168.10.3,192.168.10.1,49547,80,6,2026-07-06 17:20:39,20767260.0,6386.976423466553,7.704434768958447,3.466995646031301,4.237439122927146,72,88,8809,123831,617,66,122.34722222222223,149.45690197458097,1514,66,1407.1704545454545,326.1491648976428,1514,66,829.0,690.740816080822,477122.875,1440,1760,20,9,130611.69811320755,12616596.0,0.0,1148723.107761622,20767260.0,12616596.0,0.0,292496.61971830984,1705207.0031757895,20766459.0,12617383.0,3.0,238694.93103448275,1544766.9872657305,9,21,0,0,2,2,0,30,159,0,2,1.2222222222222223,829.0,65535,494,7276839.0,530959.0,3903899.0,3372940.0,12613947.0,6748529.0,9681238.0,2932709.0,0,0,13773.125,9.75,0,39393993.56453342867357883447,122.34722222222223,1407.1704545454545,0,72,88,8809,123831
192.168.10.3,192.168.10.1,49548,80,6,2026-07-06 17:20:39,20766989.0,5924.691345481043,7.4637685800286215,3.467040888787489,3.996727691241133,72,83,10557,112481,561,66,146.625,171.7927075722366,1514,66,1355.1927710843374,388.9465059954338,1514,66,793.7935483870967,676.7841100168353,458036.7315712798,1440,1660,20,13,134850.5779220779,12888214.0,0.0,1165900.937612942,20766989.0,12888214.0,0.0,292492.8028169014,1703609.6696034437,20766281.0,12889357.0,3.0,253247.32926829267,1588582.3992855486,13,26,0,0,2,2,0,39,154,0,2,1.1527777777777777,793.7935483870967,65535,501,6576571.0,309443.0,3443007.0,3133564.0,12699722.0,6455620.0,9577671.0,3122051.0,0,0,11032.555555555555,8.222222222222221,0,33934723.17156527682843472317,146.625,1355.1927710843374,0,72,83,10557,112481
192.168.10.3,192.168.10.1,49549,80,6,2026-07-06 17:20:39,20765088.0,4869.23050843801,6.2123502679112175,2.9376229949037542,3.2747272730074637,61,68,8052,93058,523,66,132.0,158.1043440470798,1514,66,1368.5,390.50436843229534,1514,66,783.7984496124031,687.9768156793693,473312.0989123249,1220,1360,20,9,162227.25,12613827.0,0.0,1269554.59569985,20765088.0,12613827.0,0.0,346084.8,1837065.5940448232,20764296.0,12615804.0,3.0,309914.8656716418,1742059.7844931171,9,21,0,0,2,2,0,30,128,0,2,1.1147540983606556,783.7984496124031,65535,501,6815340.0,1988.9999999999998,3408664.5,3406675.5,12345666.0,7081512.0,9713589.0,2632077.0,0,0,9840.222222222223,7.222222222222222,0,49922209.69560315670800450958,132.0,1368.5,0,61,68,8052,93058
192.168.10.3,192.168.10.1,49550,80,6,2026-07-06 17:20:39,20764781.0,3817.4734421711455,4.86400506704116,2.2634479024845002,2.6005571645566596,47,54,6236,73033,561,66,132.68085106382978,159.0691146965353,1514,66,1352.462962962963,413.1863857498195,1514,66,784.8415841584158,687.9190853390592,473232.6679737278,940,1080,20,7,207647.81,12887377.0,0.0,1457075.4419277108,20764781.0,12887377.0,0.0,451408.2826086957,2122576.6402817722,20764098.0,12889200.0,3.0,391775.43396226416,1983704.382781675,7,15,0,0,2,2,0,22,100,0,2,1.148936170212766,784.8415841584158,65535,501,7085050.0,1150.0,3543100.0,3541950.0,12884985.0,7086292.0,9985638.5,2899346.5,0,0,13122.0,9.6,0,45913226.03219034289713086074,132.68085106382978,1352.462962962963,0,47,54,6236,73033
192.168.10.3,192.168.10.1,49551,80,6,2026-07-06 17:20:40,20702366.0,2814.895650091395,3.815988955078854,1.93214630636904,1.883842648709814,40,39,7224,51051,617,66,180.6,199.38465337131643,1514,66,1309.0,411.2999404639405,1514,66,737.6582278481013,649.5479223621307,421912.5034449607,800,780,20,10,265414.9487179487,12886726.0,0.0,1628401.5280987145,20702366.0,12886726.0,0.0,530829.8974358974,2272112.0007451647,20701636.0,12888697.0,3.0,544779.8947368421,2300547.458384529,10,16,0,0,2,2,0,26,78,0,2,0.975,737.6582278481013,65535,477,6771170.0,2225.0,3386697.5,3384472.5,12885386.0,6770285.0,9827835.5,3057550.5,0,0,6868.833333333333,5.0,0,290232394.3661971830985915493,180.6,1309.0,0,40,39,7224,51051
192.168.10.3,192.168.10.1,49581,80,6,2026-07-06 17:21:19,2268007.0,15492.897508693757,22.045787336635204,11.022893668317602,11.022893668317602,25,25,4258,30880,548,66,170.32,185.1301639387812,1514,66,1235.2,492.58258190886124,1514,66,702.76,649.5750475503197,421947.7424000001,500,500,20,6,46285.857142857145,2003703.0,0.0,284717.055848111,2268007.0,2003702.9999999998,0.0,94500.29166666667,401184.5329315923,2266199.0,2006100.0,3.0,94424.95833333333,401749.8504524176,6,10,0,0,0,2,0,16,49,0,2,1.0,702.76,65535,501,0,0,0,0,0,0,0,0,0,0,6364.0,5.0,0,249568627.4509803921568627451,170.32,1235.2,0,25,25,4258,30880
192.168.10.3,192.168.10.1,49582,80,6,2026-07-06 17:21:19,2265719.0,56115.52006228487,64.88006676909185,27.805742901039363,37.07432386805248,63,84,7194,119948,551,66,114.19047619047619,136.03242577296785,1514,66,1427.952380952381,294.52228894399025,1514,66,864.9115646258504,692.9537480532806,480184.8969410894,1260,1680,20,7,15518.623287671233,1939202.0,0.0,161142.826640532,2265719.0,1939202.0,0.0,36543.854838709674,245723.02400052545,2262649.0,1939934.0,3.0,27260.831325301206,213079.12383198805,7,20,0,0,0,2,0,27,146,0,2,1.3333333333333333,864.9115646258504,65535,501,0,0,0,0,0,0,0,0,0,0,12242.777777777777,8.666666666666666,0,41391810.66867017280240420736,114.19047619047619,1427.952380952381,0,63,84,7194,119948
192.168.10.3,192.168.10.1,49583,80,6,2026-07-06 17:21:19,2264158.0,35203.373616152225,45.49152488474744,21.641599217015774,23.849925667731668,49,54,7162,72544,551,66,146.16326530612244,168.71934756393236,1514,66,1343.4074074074074,402.2508208917581,1514,66,773.8446601941747,675.1861269062274,455876.30596663227,980,1080,20,9,22197.62745098039,1999241.0,0.0,197485.58934697986,2264158.0,1999241.0,0.0,47169.958333333336,285829.13158395863,2261944.0,2002135.0,3.0,42678.188679245286,272806.86193903006,9,18,0,0,0,2,0,27,102,0,2,1.1020408163265305,773.8446601941747,65535,501,0,0,0,0,0,0,0,0,0,0,9303.0,7.0,0,57578249.33687002652519893899,146.16326530612244,1343.4074074074074,0,49,54,7162,72544
192.168.10.3,192.168.10.1,49584,80,6,2026-07-06 17:21:19,2263087.0,15935.755010744173,20.768092433035054,9.721234755888748,11.046857677146305,22,25,3201,32863,501,66,145.5,167.25015287396192,1514,66,1314.52,454.34463747248077,1514,66,767.3191489361702,680.5558149725067,463156.21729289286,440,500,20,4,49197.54347826087,1997550.0,0.0,292774.1672105197,2263087.0,1997550.0,0.0,107766.04761904762,425968.13295200473,2260326.0,2001458.0,3.0,94180.25,400917.3144595248,4,8,0,0,0,2,0,12,46,0,2,1.1363636363636365,767.3191489361702,65535,501,0,0,0,0,0,0,0,0,0,0,7801.25,5.75,0,111446428.5714285714285714286,145.5,1314.52,0,22,25,3201,32863
