src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.3,192.168.10.1,49705,80,6,2026-07-06 17:22:15,29547.0,428808.3392561005,812.2652045892984,439.9769858192033,372.2882187700951,13,11,2179,10491,554,66,167.6153846153846,184.51330511189053,1514,66,953.7272727272727,645.5658674807694,1514,66,527.9166666666666,602.3903023695592,362874.07638888893,260,220,20,3,1284.6521739130435,19190.0,3.0,3881.8772644699,29547.0,19190.0,105.0,2462.25,5108.482767662038,29027.0,22247.0,3.0,2902.7,6547.46225724135,3,4,0,0,2,2,0,7,23,0,2,0.8461538461538461,527.9166666666666,65535,501,0,0,0,0,0,0,0,0,0,0,5991.0,5.0,0,85585714.28571428571428571429,167.6153846153846,953.7272727272727,0,13,11,2179,10491
192.168.10.3,192.168.10.1,49706,80,6,2026-07-06 17:22:15,25091.0,3880235.941174126,4503.606870989598,1873.181618907178,2630.4252520824202,47,66,3980,93379,501,66,84.68085106382979,87.36426709606818,1514,66,1414.8333333333333,349.4226226103845,1514,66,861.5840707964602,710.1468341955359,504308.52611794195,940,1320,20,2,224.02678571428572,11190.0,0.0,1067.8696203508366,25091.0,11190.0,0.0,545.4565217391304,1616.9328278715757,24578.0,11655.0,3.0,378.12307692307695,1508.7294145705957,2,12,0,0,2,2,0,14,112,0,2,1.4042553191489362,861.5840707964602,65535,503,0,0,0,0,0,0,0,0,0,0,17086.4,11.8,0,31489863.61960928861039439735,84.68085106382979,1414.8333333333333,0,47,66,3980,93379
192.168.10.3,192.168.10.1,49707,80,6,2026-07-06 17:22:15,24923.0,595393.8129438671,1003.0895157083818,521.6065481683586,481.48296754002325,13,12,1746,13093,504,66,134.30769230769232,157.66926660936838,1514,66,1091.0833333333333,609.04480655276,1514,66,593.56,647.6610273901001,419464.80640000006,260,240,20,2,1038.4583333333333,18136.0,0.0,3607.242425306422,24923.0,18136.0,0.0,2076.9166666666665,4898.56532497583,24477.0,21070.0,3.0,2225.181818181818,6004.638658694427,2,4,0,0,2,2,0,6,24,0,2,0.9230769230769231,593.56,65535,503,0,0,0,0,0,0,0,0,0,0,6146.5,4.5,0,198274193.5483870967741935484,134.30769230769232,1091.0833333333333,0,13,12,1746,13093
192.168.10.3,192.168.10.1,49708,80,6,2026-07-06 17:22:15,22821.0,447438.7625432715,832.5664957714386,438.19289251128345,394.3736032601551,10,9,1110,9101,504,66,111.0,131.04884585527643,1514,66,1011.2222222222222,668.9676587063547,1514,66,537.421052631579,650.4304093840659,423059.7174515235,200,180,20,1,1267.8333333333333,16528.0,0.0,3773.1672703446375,22821.0,16528.0,0.0,2535.6666666666665,5036.1856818650185,22343.0,20152.0,4.0,2792.875,6595.3412049245035,1,2,0,0,2,2,0,3,18,0,2,0.9,537.421052631579,65535,506,0,0,0,0,0,0,0,0,0,0,8499.0,6.0,0,151767857.1428571428571428571,111.0,1011.2222222222222,0,10,9,1110,9101
192.168.10.3,192.168.10.1,49709,80,6,2026-07-06 17:22:15,22211.0,18729.45837648012,270.1364188915402,180.09094592769347,90.04547296384673,4,2,276,140,78,66,69.0,5.196152422706632,74,66,70.0,4.0,78,66,69.33333333333333,4.85340659285368,23.55555555555556,80,40,20,0,4442.2,19191.0,14.0,7431.858809207828,22211.0,19191.0,488.99999999999994,7403.666666666667,8376.489373372488,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,2,0.5,69.33333333333333,65535,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,70.0,0,4,2,276,140
192.168.10.3,192.168.10.1,49712,80,6,2026-07-06 17:22:20,685040.0,186381.81712016818,221.88485343921522,99.26427653859629,122.62057690061894,68,84,8440,119239,557,66,124.11764705882354,149.1093686064976,1514,66,1419.5119047619048,306.0889029758239,1514,66,839.9934210526316,690.3521841166379,476586.13811461226,1360,1680,20,9,4536.688741721854,505439.0,0.0,41853.33703710528,685040.0,505439.0,0.0,10224.477611940298,62368.48415387762,684023.0,507818.0,4.0,8241.240963855422,56476.12183914659,9,21,0,0,0,2,0,30,151,0,2,1.2352941176470589,839.9934210526316,65535,501,0,0,0,0,0,0,0,0,0,0,14160.285714285714,10.0,0,36441911.76470588235294117647,124.11764705882354,1419.5119047619048,0,68,84,8440,119239
192.168.10.3,192.168.10.1,49713,80,6,2026-07-06 17:22:20,678678.0,69018.00264632123,92.82752645584505,45.677036827479306,47.15048962836573,31,32,5128,41713,554,66,165.41935483870967,183.66322163195582,1514,66,1303.53125,443.8716019565089,1514,66,743.5079365079365,663.6385484229233,440416.12295288476,620,640,20,7,10946.41935483871,499466.0,0.0,65592.6997810433,678678.0,499466.0,0.0,22622.6,92885.53938391057,675362.0,501496.99999999994,4.0,21785.870967741936,92016.26848578389,7,12,0,0,0,2,0,19,62,0,2,1.032258064516129,743.5079365079365,65535,501,0,0,0,0,0,0,0,0,0,0,7165.4,5.4,0,219797546.0122699386503067485,165.41935483870967,1303.53125,0,31,32,5128,41713
192.168.10.3,192.168.10.1,49714,80,6,2026-07-06 17:22:20,680372.0,132357.00469743024,139.6294968046892,51.442446191201284,88.18705061348791,35,60,4077,85975,507,66,116.48571428571428,139.48545677977052,1514,66,1432.9166666666667,307.19365725150567,1514,66,947.9157894736842,685.575081890078,470013.19290858717,700,1200,20,4,7238.0,510562.0,0.0,54502.63722606223,680337.0,510561.99999999994,0.0,20009.91176470588,89203.78887177633,680351.0,512530.00000000006,3.0,11531.372881355932,68911.86215122252,4,12,0,0,0,2,0,16,94,0,2,1.7142857142857142,947.9157894736842,65535,501,0,0,0,0,0,0,0,0,0,0,11715.285714285714,8.285714285714286,0,86414120.12644889357218124341,116.48571428571428,1432.9166666666667,0,35,60,4077,85975
192.168.10.3,192.168.10.1,49715,80,6,2026-07-06 17:22:20,675763.0,42924.81239724578,57.712541231171286,28.116366240827034,29.59617499034425,19,20,3021,25986,507,66,159.0,178.56533523438534,1514,66,1299.3,438.0064040627716,1514,66,743.7692307692307,662.4014764297641,438775.7159763314,380,400,20,4,17783.236842105263,506329.0,4.0,83992.74668259165,675763.0,506329.0,26.0,37542.38888888889,118963.76446545903,672899.0,508679.0,4.0,35415.73684210526,117059.67795725846,4,8,0,0,0,2,0,12,38,0,2,1.0526315789473684,743.7692307692307,65535,501,0,0,0,0,0,0,0,0,0,0,6164.5,4.5,0,220160714.2857142857142857143,159.0,1299.3,0,19,20,3021,25986
192.168.10.3,192.168.10.1,49716,80,6,2026-07-06 17:22:20,675495.0,11868.333592402609,19.245146152081066,8.882375147114338,10.36277100496673,6,7,846,7171,504,66,141.0,162.39766008166498,1514,66,1024.4285714285713,630.5398723413491,1514,66,616.6923076923077,648.2368257423523,420210.98224852077,120,140,20,1,56291.25,668557.0,4.0,184607.9252488568,675495.0,668557.0,200.0,135099.0,266733.27308230597,671727.0,670806.0,4.0,111954.5,249926.1980723843,1,2,0,0,0,2,0,3,12,0,2,1.1666666666666667,616.6923076923077,65535,506,0,0,0,0,0,0,0,0,0,0,6701.0,5.0,0,239321428.5714285714285714286,141.0,1024.4285714285713,0,6,7,846,7171
