persona,session_id,start_epoch,end_epoch,status
FORM_FILLING,8,1783513344,1783513352,OK
FORM_FILLING,10,1783513371,1783513382,OK
BROWSING,4,1783513300,1783513401,OK
SEARCHING,14,1783513406,1783513408,OK
BROWSING,5,1783513309,1783513420,OK
BROWSING,1,1783513285,1783513427,OK
FORM_FILLING,15,1783513420,1783513434,OK
BROWSING,3,1783513287,1783513439,OK
SEARCHING,16,1783513442,1783513456,OK
BROWSING,7,1783513324,1783513460,OK
BROWSING,9,1783513364,1783513495,OK
BROWSING,6,1783513316,1783513497,OK
BROWSING,2,1783513287,1783513506,OK
SEARCHING,22,1783513495,1783513513,FAIL
BROWSING,11,1783513384,1783513548,OK
BROWSING,17,1783513444,1783513556,OK
SEARCHING,29,1783513563,1783513565,OK
FORM_FILLING,27,1783513556,1783513568,OK
BROWSING,13,1783513389,1783513569,OK
SEARCHING,28,1783513558,1783513569,OK
SEARCHING,35,1783513584,1783513586,OK
SEARCHING,32,1783513571,1783513587,OK
SEARCHING,37,1783513591,1783513601,OK
SEARCHING,36,1783513584,1783513604,FAIL
BROWSING,30,1783513563,1783513651,OK
BROWSING,18,1783513456,1783513658,OK
BROWSING,19,1783513458,1783513664,OK
FORM_FILLING,43,1783513662,1783513669,OK
BROWSING,12,1783513389,1783513686,OK
BROWSING,21,1783513468,1783513690,OK
BROWSING,25,1783513539,1783513704,OK
BROWSING,33,1783513574,1783513707,OK
BROWSING,24,1783513516,1783513713,OK
BROWSING,34,1783513579,1783513717,OK
BROWSING,20,1783513462,1783513717,OK
BROWSING,23,1783513509,1783513719,OK
SEARCHING,49,1783513719,1783513726,OK
BROWSING,38,1783513606,1783513738,OK
SEARCHING,46,1783513695,1783513741,OK
SEARCHING,51,1783513743,1783513755,OK
BROWSING,41,1783513638,1783513780,OK
SEARCHING,52,1783513748,1783513780,OK
BROWSING,39,1783513613,1783513781,OK
SEARCHING,48,1783513711,1783513782,OK
BROWSING,42,1783513659,1783513800,OK
BROWSING,26,1783513546,1783513803,OK
SEARCHING,55,1783513770,1783513812,OK
BROWSING,31,1783513565,1783513840,OK
BROWSING,47,1783513704,1783513845,OK
BROWSING,40,1783513636,1783513851,OK
SEARCHING,65,1783513853,1783513856,OK
SEARCHING,63,1783513845,1783513873,OK
BROWSING,54,1783513766,1783513874,OK
BROWSING,56,1783513779,1783513879,OK
BROWSING,45,1783513676,1783513888,OK
FORM_FILLING,70,1783513893,1783513901,OK
SEARCHING,66,1783513854,1783513901,FAIL
BROWSING,44,1783513662,1783513905,OK
BROWSING,58,1783513822,1783513919,OK
SEARCHING,64,1783513851,1783513922,FAIL
BROWSING,53,1783513765,1783513929,OK
BROWSING,62,1783513841,1783513971,FAIL
BROWSING,68,1783513888,1783513971,FAIL
BROWSING,75,1783513965,1783513979,FAIL
BROWSING,74,1783513962,1783513982,FAIL
SEARCHING,73,1783513949,1783513982,FAIL
BROWSING,71,1783513898,1783513983,FAIL
BROWSING,59,1783513826,1783513985,FAIL
BROWSING,57,1783513792,1783513986,FAIL
BROWSING,67,1783513884,1783513988,FAIL
BROWSING,72,1783513919,1783513992,FAIL
BROWSING,60,1783513827,1783513994,FAIL
BROWSING,69,1783513890,1783514007,FAIL
BROWSING,50,1783513727,1783514008,FAIL
SEARCHING,77,1783513976,1783514021,OK
BROWSING,61,1783513836,1783514024,FAIL
BROWSING,78,1783513982,1783514394,OK
BROWSING,79,1783514005,1783514431,OK
BROWSING,76,1783513976,1783514486,OK
BROWSING,80,1783514021,1783514554,OK
