persona,session_id,start_epoch,end_epoch,status
FORM_FILLING,7,1783516039,1783516048,OK
SEARCHING,10,1783516085,1783516098,OK
SEARCHING,9,1783516081,1783516098,OK
BROWSING,4,1783516025,1783516110,OK
FORM_FILLING,11,1783516108,1783516124,OK
BROWSING,3,1783516022,1783516130,OK
SEARCHING,12,1783516118,1783516145,OK
BROWSING,2,1783516012,1783516208,OK
SEARCHING,16,1783516193,1783516216,FAIL
FORM_FILLING,18,1783516214,1783516226,OK
BROWSING,17,1783516201,1783516234,OK
SEARCHING,22,1783516230,1783516235,OK
BROWSING,6,1783516035,1783516237,OK
SEARCHING,20,1783516223,1783516239,OK
SEARCHING,19,1783516219,1783516244,OK
SEARCHING,24,1783516233,1783516258,OK
SEARCHING,29,1783516268,1783516275,OK
SEARCHING,30,1783516284,1783516288,OK
SEARCHING,28,1783516264,1783516289,OK
BROWSING,5,1783516031,1783516291,OK
SEARCHING,31,1783516302,1783516304,OK
BROWSING,14,1783516157,1783516308,OK
BROWSING,1,1783515997,1783516311,OK
BROWSING,13,1783516119,1783516318,OK
BROWSING,15,1783516166,1783516327,OK
FORM_FILLING,33,1783516333,1783516341,OK
BROWSING,8,1783516081,1783516342,OK
BROWSING,26,1783516249,1783516354,OK
SEARCHING,35,1783516347,1783516364,OK
SEARCHING,37,1783516362,1783516374,OK
FORM_FILLING,40,1783516378,1783516389,OK
BROWSING,27,1783516253,1783516401,OK
BROWSING,23,1783516231,1783516403,OK
FORM_FILLING,44,1783516404,1783516412,OK
SEARCHING,43,1783516391,1783516416,OK
SEARCHING,49,1783516420,1783516422,OK
BROWSING,25,1783516241,1783516427,OK
FORM_FILLING,47,1783516415,1783516429,OK
BROWSING,42,1783516390,1783516452,OK
SEARCHING,54,1783516487,1783516499,OK
SEARCHING,55,1783516495,1783516505,OK
BROWSING,38,1783516367,1783516507,OK
BROWSING,21,1783516228,1783516513,OK
SEARCHING,59,1783516507,1783516516,OK
BROWSING,48,1783516417,1783516527,OK
SEARCHING,60,1783516515,1783516536,OK
BROWSING,36,1783516351,1783516538,OK
SEARCHING,62,1783516524,1783516541,OK
SEARCHING,58,1783516506,1783516545,OK
SEARCHING,61,1783516515,1783516545,OK
SEARCHING,63,1783516539,1783516552,FAIL
BROWSING,50,1783516422,1783516554,OK
BROWSING,53,1783516485,1783516556,OK
BROWSING,34,1783516339,1783516556,OK
BROWSING,52,1783516454,1783516569,OK
BROWSING,41,1783516382,1783516579,OK
FORM_FILLING,67,1783516581,1783516589,OK
BROWSING,32,1783516331,1783516594,OK
BROWSING,46,1783516407,1783516610,OK
BROWSING,39,1783516372,1783516613,OK
BROWSING,51,1783516440,1783516616,OK
BROWSING,64,1783516544,1783516628,OK
BROWSING,45,1783516406,1783516628,OK
SEARCHING,72,1783516659,1783516667,OK
BROWSING,70,1783516627,1783516673,OK
SEARCHING,73,1783516670,1783516675,OK
SEARCHING,74,1783516673,1783516695,OK
FORM_FILLING,77,1783516696,1783516715,OK
SEARCHING,71,1783516638,1783516717,OK
BROWSING,56,1783516501,1783516726,OK
BROWSING,57,1783516503,1783516738,OK
BROWSING,66,1783516564,1783516747,OK
SEARCHING,80,1783516740,1783516764,OK
BROWSING,75,1783516675,1783516777,OK
SEARCHING,83,1783516776,1783516783,OK
BROWSING,69,1783516595,1783516796,OK
SEARCHING,89,1783516798,1783516801,OK
SEARCHING,85,1783516780,1783516808,OK
BROWSING,68,1783516594,1783516811,OK
BROWSING,65,1783516563,1783516812,OK
SEARCHING,86,1783516781,1783516813,OK
SEARCHING,84,1783516778,1783516821,OK
BROWSING,79,1783516725,1783516821,OK
BROWSING,78,1783516703,1783516834,OK
SEARCHING,93,1783516843,1783516862,OK
SEARCHING,95,1783516844,1783516865,OK
SEARCHING,94,1783516843,1783516874,OK
BROWSING,81,1783516760,1783516875,OK
BROWSING,76,1783516681,1783516880,OK
SEARCHING,97,1783516890,1783516902,OK
BROWSING,90,1783516807,1783516913,OK
BROWSING,91,1783516813,1783517002,OK
BROWSING,82,1783516775,1783517002,OK
BROWSING,88,1783516786,1783517007,OK
SEARCHING,110,1783517002,1783517013,OK
BROWSING,87,1783516785,1783517014,OK
BROWSING,92,1783516831,1783517024,OK
SEARCHING,114,1783517035,1783517045,OK
FORM_FILLING,116,1783517045,1783517053,OK
BROWSING,105,1783516974,1783517059,OK
BROWSING,103,1783516939,1783517071,OK
BROWSING,107,1783516976,1783517073,OK
SEARCHING,118,1783517059,1783517078,OK
FORM_FILLING,120,1783517073,1783517087,OK
