attack_type,seed,n_benign,n_attack,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,recall__portscan,recall__apache_bench,recall__slowloris
portscan,0,6821,694,0.08978675752878187,0.9894149890472318,0.9985468254293509,0.7775910364145658,0.05820260958803695,1.0,1.0,,
portscan,1,6821,694,0.08491270095109933,0.9924423887934071,0.9990453705647967,0.809801633605601,0.04779357865415628,1.0,1.0,,
portscan,2,6821,694,0.10089417546987527,0.9895160835297644,0.99849971713901,0.7963281698221457,0.052045154669403314,1.0,1.0,,
portscan,3,6821,694,0.09607517421245573,0.991445203857004,0.9988662323127382,0.7711111111111111,0.0604017006304061,1.0,1.0,,
portscan,4,6821,694,0.10465369373559946,0.9887731482252244,0.9983433936643362,0.7837380011293055,0.056150124615159065,1.0,1.0,,
portscan,5,6821,694,0.04287732690572738,0.9940194311652455,0.9992779545453585,0.7458355722729715,0.06934467086937399,1.0,1.0,,
portscan,6,6821,694,0.1092524468898773,0.9912023950059888,0.998863908585412,0.7899829254410927,0.05409763964228119,1.0,1.0,,
portscan,7,6821,694,0.07523494511842718,0.9927397085755505,0.9990831839458327,0.7872943845717527,0.05497727605922885,1.0,1.0,,
portscan,8,6821,694,0.11536640375852582,0.9912714920173815,0.9988867233627968,0.7922374429223744,0.053364609294824804,1.0,1.0,,
portscan,9,6821,694,0.08032118827104566,0.9910280358280066,0.9987903943027274,0.7584699453551913,0.0647998827151444,1.0,1.0,,
portscan,10,6821,694,0.050841983407735776,0.994501882885569,0.9993474551172067,0.7698280643372157,0.06084151883887993,1.0,1.0,,
portscan,11,6821,694,0.10515065044164651,0.9886614543597999,0.9983163539281765,0.7651598676957001,0.062454185603283974,1.0,1.0,,
portscan,12,6821,694,0.11453232169151305,0.992538274106674,0.9990882538963626,0.7990788716177317,0.051165518252455654,1.0,1.0,,
portscan,13,6821,694,0.08587242811918258,0.9922618456049024,0.9990054447043734,0.7899829254410927,0.05409763964228119,1.0,1.0,,
portscan,14,6821,694,0.06851890832185745,0.9957183895015748,0.9995120172614915,0.8079161816065192,0.04838000293212139,1.0,1.0,,
portscan,15,6821,694,0.06101732999086379,0.9931451997099507,0.999146558327457,0.75764192139738,0.06509309485412697,1.0,1.0,,
portscan,16,6821,694,0.0733539402484893,0.9917561609851856,0.9989205230329965,0.7698280643372157,0.06084151883887993,1.0,1.0,,
portscan,17,6821,694,0.1528607279062271,0.9850840803859958,0.9973847505182969,0.7477678571428571,0.06274739774226654,0.9654178674351584,0.9654178674351584,,
portscan,18,6821,694,0.1053469777107238,0.9879394463577121,0.9981524255277079,0.7767207610520426,0.0584958217270195,1.0,1.0,,
portscan,19,6821,694,0.089127978682518,0.9895192139987448,0.9985628802726958,0.7745535714285714,0.05922885207447588,1.0,1.0,,
apache_bench,0,6821,1487,0.08978675752878187,0.27667446330177803,0.7169576095500791,0.0405616224648986,0.05820260958803695,0.026227303295225286,,0.026227303295225286,
apache_bench,1,6821,1487,0.08491270095109933,0.30433787294143794,0.7589630583268353,0.042116630669546434,0.04779357865415628,0.026227303295225286,,0.026227303295225286,
apache_bench,2,6821,1487,0.10089417546987527,0.24357646230892377,0.657184185434692,0.04146730462519936,0.052045154669403314,0.026227303295225286,,0.026227303295225286,
apache_bench,3,6821,1487,0.09607517421245573,0.24557646195656238,0.6583705410730164,0.04024767801857585,0.0604017006304061,0.026227303295225286,,0.026227303295225286,
apache_bench,4,6821,1487,0.10465369373559946,0.26055466494814117,0.6862646873499862,0.040859088528025146,0.056150124615159065,0.026227303295225286,,0.026227303295225286,
apache_bench,5,6821,1487,0.04287732690572738,0.23323991853141526,0.6288123616818072,0.03901950975487744,0.06934467086937399,0.026227303295225286,,0.026227303295225286,
apache_bench,6,6821,1487,0.1092524468898773,0.22370858829047224,0.6058964625937128,0.04116094986807388,0.05409763964228119,0.026227303295225286,,0.026227303295225286,
apache_bench,7,6821,1487,0.07523494511842718,0.26227203248306624,0.692273317882677,0.041031036296685953,0.05497727605922885,0.026227303295225286,,0.026227303295225286,
apache_bench,8,6821,1487,0.11536640375852582,0.17995587045526484,0.4579353961178673,0.04126984126984127,0.053364609294824804,0.026227303295225286,,0.026227303295225286,
apache_bench,9,6821,1487,0.08032118827104566,0.2277975708218472,0.6196556443287459,0.039634146341463415,0.0647998827151444,0.026227303295225286,,0.026227303295225286,
apache_bench,10,6821,1487,0.050841983407735776,0.3006192024739575,0.7540941001951428,0.0401854714064915,0.06084151883887993,0.026227303295225286,,0.026227303295225286,
apache_bench,11,6821,1487,0.10515065044164651,0.24520731111140923,0.6583312522238621,0.039959016393442626,0.062454185603283974,0.026227303295225286,,0.026227303295225286,
apache_bench,12,6821,1487,0.11453232169151305,0.17753057748278828,0.44579297270869356,0.0416,0.051165518252455654,0.026227303295225286,,0.026227303295225286,
apache_bench,13,6821,1487,0.08587242811918258,0.23756792590167508,0.6432740102931856,0.04116094986807388,0.05409763964228119,0.026227303295225286,,0.026227303295225286,
apache_bench,14,6821,1487,0.06851890832185745,0.2529588500440539,0.6737844882891131,0.04202586206896552,0.04838000293212139,0.026227303295225286,,0.026227303295225286,
apache_bench,15,6821,1487,0.06101732999086379,0.2898181324251919,0.7362100329622108,0.03959390862944162,0.06509309485412697,0.026227303295225286,,0.026227303295225286,
apache_bench,16,6821,1487,0.0733539402484893,0.3294648090215759,0.7876550590875699,0.0401854714064915,0.06084151883887993,0.026227303295225286,,0.026227303295225286,
apache_bench,17,6821,1487,0.1528607279062271,0.26181307329994996,0.6889036951926716,0.03991811668372569,0.06274739774226654,0.026227303295225286,,0.026227303295225286,
apache_bench,18,6821,1487,0.1053469777107238,0.2730144595420466,0.711884270529311,0.04051948051948052,0.0584958217270195,0.026227303295225286,,0.026227303295225286,
apache_bench,19,6821,1487,0.089127978682518,0.304649368993841,0.756853390085427,0.04041450777202073,0.05922885207447588,0.026227303295225286,,0.026227303295225286,
slowloris,0,6821,929,0.08978675752878187,1.0,1.0,0.8239467849223947,0.05820260958803695,1.0,,,1.0
slowloris,1,6821,929,0.08491270095109933,1.0,1.0,0.8507326007326007,0.04779357865415628,1.0,,,1.0
slowloris,2,6821,929,0.10089417546987527,1.0,1.0,0.8395842747401717,0.052045154669403314,1.0,,,1.0
slowloris,3,6821,929,0.09607517421245573,1.0,1.0,0.8185022026431719,0.0604017006304061,1.0,,,1.0
slowloris,4,6821,929,0.10465369373559946,1.0,1.0,0.8290941543953592,0.056150124615159065,1.0,,,1.0
slowloris,5,6821,929,0.04287732690572738,1.0,1.0,0.7970827970827971,0.06934467086937399,1.0,,,1.0
slowloris,6,6821,929,0.1092524468898773,1.0,1.0,0.8343062415806017,0.05409763964228119,1.0,,,1.0
slowloris,7,6821,929,0.07523494511842718,1.0,1.0000000000000002,0.8320644872369011,0.05497727605922885,1.0,,,1.0
slowloris,8,6821,929,0.11536640375852582,1.0,1.0,0.8361836183618362,0.053364609294824804,1.0,,,1.0
slowloris,9,6821,929,0.08032118827104566,1.0,1.0,0.8078260869565217,0.0647998827151444,1.0,,,1.0
slowloris,10,6821,929,0.050841983407735776,1.0,1.0,0.8174219093708754,0.06084151883887993,1.0,,,1.0
slowloris,11,6821,929,0.10515065044164651,1.0,1.0,0.8134851138353766,0.062454185603283974,1.0,,,1.0
slowloris,12,6821,929,0.11453232169151305,1.0,1.0,0.8418667874943362,0.051165518252455654,1.0,,,1.0
slowloris,13,6821,929,0.08587242811918258,1.0,1.0,0.8343062415806017,0.05409763964228119,1.0,,,1.0
slowloris,14,6821,929,0.06851890832185745,1.0,1.0,0.8491773308957953,0.04838000293212139,1.0,,,1.0
slowloris,15,6821,929,0.06101732999086379,1.0,1.0,0.8071242397914856,0.06509309485412697,1.0,,,1.0
slowloris,16,6821,929,0.0733539402484893,1.0,0.9999999999999999,0.8174219093708754,0.06084151883887993,1.0,,,1.0
slowloris,17,6821,929,0.1528607279062271,1.0,1.0,0.8127734033245845,0.06274739774226654,1.0,,,1.0
slowloris,18,6821,929,0.1053469777107238,1.0,1.0,0.8232166592822331,0.0584958217270195,1.0,,,1.0
slowloris,19,6821,929,0.089127978682518,1.0,1.0,0.8213969938107869,0.05922885207447588,1.0,,,1.0
