seed,val_auc,test_auc,test_f1_pctl95,n_active_dims_train,epochs_run,train_time_sec,is_current_final_model_seed
0,0.8431708347199389,0.9372481109797833,0.8413001912045889,3,200,19.3,True
1,0.81380144923236,0.921997332355002,0.848804891606448,9,68,7.2,False
2,0.8001442327366618,0.917475770688571,0.8576242628475147,2,130,13.0,False
3,0.8004191088300856,0.9189392797358505,0.8517279821627648,2,163,16.0,False
4,0.8328324271724505,0.9330143422426325,0.8374792703150912,1,164,16.2,False
5,0.7949381324728491,0.9157253111971669,0.8456636187309504,8,79,8.5,False
6,0.7966265467433306,0.9195370510368521,0.8492769744160178,8,109,11.1,False
7,0.806734751077747,0.9233386810546655,0.853713009491904,6,115,11.6,False
8,0.7108840674778896,0.8821308224429958,0.8472414749098974,8,36,4.6,False
9,0.8291169671680803,0.9272138881094342,0.8354776895702163,6,100,10.5,False
