variant,beta_target,seed,val_auc,n_active_dims_train,epochs_run,train_time_sec
beta=1.0 (baseline),1.0,0,0.8014177958886168,1,171,16.0
beta=1.0 (baseline),1.0,1,0.7318377441276396,1,168,15.6
beta=1.0 (baseline),1.0,2,0.715647851074515,3,122,12.0
beta=1.0 (baseline),1.0,3,0.70796257140629,2,97,9.5
beta=1.0 (baseline),1.0,4,0.7978003956142042,0,78,8.5
beta=0.5,0.5,0,0.722827169008978,6,83,8.8
beta=0.5,0.5,1,0.7942060487521209,10,58,6.5
beta=0.5,0.5,2,0.7836666683947534,2,156,15.2
beta=0.5,0.5,3,0.7919123996804289,2,132,12.9
beta=0.5,0.5,4,0.8091144368078944,1,114,11.1
beta=0.25,0.25,0,0.8431708347199389,3,200,18.5
beta=0.25,0.25,1,0.81380144923236,9,68,7.0
beta=0.25,0.25,2,0.8001442327366618,2,130,12.5
beta=0.25,0.25,3,0.8004191088300856,2,163,15.6
beta=0.25,0.25,4,0.8328324271724505,1,164,16.7
KL-annealing (sigmoid -> 1.0),1.0,0,0.7250719536708037,10,21,3.0
KL-annealing (sigmoid -> 1.0),1.0,1,0.7304856449489918,10,26,3.5
KL-annealing (sigmoid -> 1.0),1.0,2,0.7166860267532091,10,25,3.4
KL-annealing (sigmoid -> 1.0),1.0,3,0.7744828066216901,10,23,3.2
KL-annealing (sigmoid -> 1.0),1.0,4,0.7059685063914758,9,22,3.1
