free_bits_lambda,seed,val_auc,n_active_dims,active_ratio,epochs_run,train_time_sec
0.0,0,0.8431708347199389,3,0.3,200,18.7
0.0,1,0.81380144923236,9,0.9,68,7.5
0.0,2,0.8001442327366618,2,0.2,130,12.1
0.0,3,0.8004191088300856,2,0.2,163,16.3
0.0,4,0.8328324271724505,1,0.1,164,15.6
0.1,0,0.7949994611678506,10,1.0,54,5.6
0.1,1,0.8308159705657561,10,1.0,71,7.2
0.1,2,0.8604089410619107,10,1.0,173,15.9
0.1,3,0.8066402210568544,10,1.0,131,13.1
0.1,4,0.8308065947760526,10,1.0,148,14.0
0.25,0,0.7133556359471307,10,1.0,34,3.9
0.25,1,0.8026718904890113,10,1.0,44,4.8
0.25,2,0.8432505840841227,10,1.0,113,10.8
0.25,3,0.8120585450781901,10,1.0,136,12.9
0.25,4,0.8204695660211675,10,1.0,148,14.9
0.5,0,0.7970322426789698,10,1.0,145,13.9
0.5,1,0.8252980425667471,10,1.0,64,6.7
0.5,2,0.8101034171664974,10,1.0,106,10.3
0.5,3,0.8237243438408727,10,1.0,91,9.0
0.5,4,0.8067583560071181,10,1.0,162,15.2
1.0,0,0.8459637170174885,10,1.0,124,12.3
1.0,1,0.8007842131114793,10,1.0,91,9.2
1.0,2,0.8305149525645708,10,1.0,119,11.6
1.0,3,0.8277403806327952,10,1.0,58,6.2
1.0,4,0.8174134446397673,10,1.0,96,9.6
