arm,contamination_pct,n_seeds,pr_auc_mean,pr_auc_median,pr_auc_std,diff_from_0pct_mean,ci95_lo,ci95_hi,significant
v2,0.0,20,0.751618794623495,0.7494187646733274,0.028139509533883902,0.0,0.0,0.0,False
v2,1.0,20,0.7250229224684338,0.7309203621671613,0.025045964639957428,-0.026595872155061206,-0.042555329438169844,-0.010437862246269839,True
v2,2.0,20,0.7022272225530052,0.6918051459667869,0.02985981897442671,-0.04939157207048983,-0.06674080083166843,-0.03225405022920011,True
v2,4.0,20,0.6528534859847424,0.6587600498640122,0.03934105964300913,-0.09876530863875266,-0.12002987931254297,-0.07898948869106419,True
v2,8.0,20,0.6354693227490851,0.6477784645094091,0.04812798029323079,-0.11614947187440994,-0.14125891737170587,-0.09389032502029725,True
v2,12.0,20,0.6561094040506918,0.6675709556887608,0.06547082603542675,-0.09550939057280317,-0.12889283561168238,-0.06843767470174326,True
v2,14.38,20,0.6009738204909139,0.596452317252272,0.09724273917948834,-0.15064497413258116,-0.1937483839564413,-0.10921937168980861,True
v2,19.27,20,0.6616151555267927,0.7028221930860021,0.07619015993722521,-0.09000363909670228,-0.1269497042701831,-0.05914238316710426,True
v2,21.26,20,0.6433359600210411,0.702630830604997,0.0866331002931465,-0.10828283460245391,-0.14933491084696413,-0.07184414870309781,True
v1_det,0.0,20,0.7273671415255143,0.7257429564733116,0.017672910967683298,0.0,0.0,0.0,False
v1_det,1.0,20,0.7099964126845251,0.7135962570425006,0.02436493828393547,-0.017370728840989225,-0.03005302674008754,-0.00451804628416167,True
v1_det,2.0,20,0.7061643771893455,0.7087626470889025,0.01942650099505929,-0.021202764336168745,-0.03266665498054517,-0.010266751530213739,True
v1_det,4.0,20,0.683065387684674,0.6821079523174368,0.026398558453943816,-0.04430175384084034,-0.05868055043021111,-0.031647327582602434,True
v1_det,8.0,20,0.6493576888594979,0.6705367403129814,0.05849986236173004,-0.07800945266601644,-0.10612116983974448,-0.05398980751893432,True
v1_det,12.0,20,0.6450156689006438,0.6765715533325777,0.08336549560666068,-0.08235147262487053,-0.12229467258588644,-0.0496145205006561,True
v1_det,14.33,20,0.6491865812662294,0.6758185017008362,0.09038724785873434,-0.07818056025928488,-0.12140523019302656,-0.043387515482766106,True
v1_det,19.3,20,0.6681001082564915,0.6887879232546306,0.07529440376833436,-0.05926703326902283,-0.09651362575557677,-0.03046726480931258,True
v1_det,21.29,20,0.6700031170189001,0.7097366691593561,0.07592768530643605,-0.05736402450661415,-0.09267877078687368,-0.02673051789657299,True
