variant,seed,latent_dim,n_active_dims,active_ratio,zmean_stds
latent8,0,8,7,0.875,"[0.4555, 0.2239, 0.6791, 0.1828, 0.5483, 0.0964, 0.6481, 1.0459]"
latent8,1,8,7,0.875,"[0.8071, 0.5695, 1.3579, 0.7165, 0.401, 0.4831, 0.3265, 0.1476]"
latent8,2,8,6,0.75,"[0.8769, 0.3034, 0.2659, 0.0772, 0.2825, 1.1678, 0.0534, 0.226]"
latent8,3,8,2,0.25,"[0.0151, 0.0079, 1.0749, 0.0184, 0.0565, 0.0153, 0.7406, 0.1141]"
latent8,4,8,7,0.875,"[0.3649, 0.5305, 0.4044, 1.2455, 0.3021, 1.0064, 0.1866, 0.039]"
latent8,5,8,3,0.375,"[0.1906, 0.0353, 0.0277, 0.0306, 0.0114, 0.0531, 0.7716, 1.0015]"
latent8,6,8,3,0.375,"[0.0234, 0.0149, 0.0264, 0.0428, 0.3314, 0.0251, 0.7362, 1.0107]"
latent8,7,8,2,0.25,"[1.0482, 0.0943, 0.031, 0.8043, 0.0386, 0.1008, 0.0233, 0.0339]"
latent8,8,8,2,0.25,"[0.0287, 0.018, 0.7999, 0.0319, 1.0988, 0.0337, 0.0266, 0.0372]"
latent8,9,8,4,0.5,"[0.4325, 0.2879, 0.0296, 0.0958, 1.1108, 0.8816, 0.0375, 0.022]"
latent8,10,8,2,0.25,"[1.1606, 0.0699, 0.0457, 0.0541, 0.1009, 0.024, 0.9089, 0.0092]"
latent8,11,8,6,0.75,"[0.243, 0.3405, 0.7485, 0.425, 1.1639, 0.1753, 0.0175, 0.0791]"
latent8,12,8,4,0.5,"[0.1244, 0.6729, 0.0741, 0.203, 0.0264, 0.0732, 1.0883, 0.1618]"
latent8,13,8,5,0.625,"[0.8796, 0.2402, 0.3057, 0.3166, 0.052, 0.0314, 0.0725, 1.0318]"
latent8,14,8,4,0.5,"[0.9601, 0.0953, 0.0847, 0.4777, 0.2297, 0.0545, 0.0481, 0.9196]"
latent8,15,8,7,0.875,"[0.2486, 0.588, 0.2723, 0.1401, 1.0613, 0.2543, 0.3715, 0.3075]"
latent8,16,8,2,0.25,"[0.0247, 0.0143, 0.0071, 0.0188, 0.7851, 0.0156, 0.0218, 1.07]"
latent8,17,8,2,0.25,"[0.0213, 0.0123, 0.0118, 0.0153, 0.8938, 0.0068, 0.0099, 0.9451]"
latent8,18,8,5,0.625,"[0.0416, 0.3294, 0.6456, 0.0876, 0.1848, 0.0794, 0.3992, 1.0591]"
latent8,19,8,8,1.0,"[1.2427, 0.2781, 0.5083, 0.4822, 0.9428, 0.5193, 0.3425, 1.1247]"
latent10,0,10,8,0.8,"[0.6298, 0.2251, 1.063, 0.2109, 0.0352, 0.8861, 0.8544, 0.1321, 1.06, 0.3662]"
latent10,1,10,10,1.0,"[0.2084, 1.2071, 0.2628, 1.1042, 0.5989, 0.7587, 0.6993, 0.8423, 0.6118, 0.6751]"
latent10,2,10,3,0.3,"[0.0199, 0.1265, 0.951, 0.0177, 0.0894, 0.9815, 0.0614, 0.1813, 0.0659, 0.035]"
latent10,3,10,4,0.4,"[0.1532, 0.0133, 0.0642, 0.1774, 0.0178, 0.0176, 0.0212, 0.0055, 0.9077, 0.9835]"
latent10,4,10,1,0.1,"[0.0407, 0.0136, 0.0103, 0.0117, 0.0115, 0.0444, 0.0389, 0.0238, 0.0206, 1.0176]"
latent10,5,10,7,0.7,"[0.1226, 0.428, 0.7626, 0.1088, 1.0554, 0.1994, 0.4322, 0.018, 0.29, 0.3662]"
latent10,6,10,10,1.0,"[0.8907, 0.5792, 0.3774, 0.462, 0.5512, 0.4167, 0.6415, 1.3198, 0.5483, 0.7196]"
latent10,7,10,7,0.7,"[0.6986, 0.1044, 0.1532, 0.0615, 0.1651, 0.72, 0.0922, 1.0831, 0.2698, 0.3696]"
latent10,8,10,8,0.8,"[0.2645, 0.6871, 0.6676, 0.5999, 0.9626, 0.7418, 0.0975, 0.0789, 0.6816, 0.9078]"
latent10,9,10,5,0.5,"[0.5838, 0.06, 0.0825, 1.0973, 0.1042, 0.1007, 0.2606, 0.3642, 0.382, 0.0891]"
latent10,10,10,3,0.3,"[0.0285, 0.1071, 0.1003, 0.0425, 0.0071, 0.0186, 1.025, 0.0121, 0.4064, 0.6965]"
latent10,11,10,4,0.4,"[0.6108, 0.1549, 0.0462, 1.0234, 0.2024, 0.0216, 0.036, 0.0218, 0.0102, 0.0662]"
latent10,12,10,10,1.0,"[0.4634, 0.3521, 0.3321, 0.9361, 0.3428, 0.478, 0.6262, 0.6402, 0.7732, 1.0883]"
latent10,13,10,7,0.7,"[1.1688, 0.2989, 0.4088, 0.0378, 0.0547, 0.164, 0.1947, 0.0162, 0.629, 0.4406]"
