latent_dim,seed,val_auc,n_active_dims,active_ratio,epochs_run,train_time_sec
4,0,0.7998284340787675,4,1.0,120,12.5
4,1,0.8473813915723563,2,0.5,102,10.3
4,2,0.8405370099371237,3,0.75,155,15.2
4,3,0.7654702460416796,3,0.75,89,9.2
4,4,0.8314520903212841,2,0.5,132,13.1
6,0,0.7871716694961328,5,0.8333333333333334,77,7.6
6,1,0.8455161057867043,2,0.3333333333333333,175,16.6
6,2,0.8247015217347903,2,0.3333333333333333,160,15.9
6,3,0.8133269239699563,2,0.3333333333333333,97,11.0
6,4,0.8114188956135975,2,0.3333333333333333,178,18.1
8,0,0.8116174417484943,6,0.75,161,16.7
8,1,0.8112429616773972,2,0.25,151,14.9
8,2,0.8206700424657092,3,0.375,181,18.4
8,3,0.8127431983333597,3,0.375,137,13.6
8,4,0.7940843840927925,2,0.25,131,14.3
10,0,0.8431708347199389,3,0.3,200,22.2
10,1,0.81380144923236,9,0.9,68,8.1
10,2,0.8001442327366618,2,0.2,130,13.3
10,3,0.8004191088300856,2,0.2,163,15.7
10,4,0.8328324271724505,1,0.1,164,16.4
16,0,0.7027933124808416,13,0.8125,34,4.6
16,1,0.7865936796367665,13,0.8125,43,5.1
16,2,0.8153744309860804,4,0.25,130,13.1
16,3,0.8051942536777638,11,0.6875,197,18.7
16,4,0.79318110948242,8,0.5,167,15.9
