component,explained_variance_ratio,cumulative_variance_ratio
1,0.5672790557369429,0.5672790557369429
2,0.2581578228589158,0.8254368785958588
3,0.09153878933273404,0.9169756679285929
4,0.03896401341974,0.9559396813483328
5,0.02426200762488701,0.9802016889732199
6,0.01588333249167563,0.9960850214648955
7,0.0015535693372686614,0.9976385908021642
8,0.001144047275025617,0.9987826380771898
9,0.0008493142696767117,0.9996319523468665
10,0.0002326125003725371,0.9998645648472391
11,9.536847749225499e-05,0.9999599333247313
12,4.006667526886587e-05,1.0000000000000002
13,3.7694469062299496e-19,1.0000000000000002
14,8.28489158180012e-20,1.0000000000000002
15,0.0,1.0000000000000002
16,0.0,1.0000000000000002
17,0.0,1.0000000000000002
18,0.0,1.0000000000000002
